"FSCS Key","Library Name","Locale","Service Area Population","Total Circulation","Percentage of Children's Material Circulation","Electronic Material Circulation","Print Material Circulation","Other Physical Item Circulation","Central Library","Branch Library","Bookmobiles","Internet Computers","Computer Uses","Wireless Sessions","Total Library Programs","Children's Programs","Young Adult Programs","Adult Programs","Total Program Attendance","Children's Program Attendance","Adult Program Attendance","General Interest Program Attendance","General Interest Programs","Local Revenue ($)","State Revenue ($)","Federal Revenue ($)","Other Revenue ($)","Total Revenue ($)","Hours/Year","Physical Visits","Reference Transactions","Registered Users","Inter-library Loans to Other Library","Inter-library Loans from Other Library"
"PA0034","CARNEGIE LIBRARY OF MCKEESPORT","Suburban",51459,105410,17,37571,67839,411,1,2,0,35,8201,4223,451,283,28,140,6136,3594,2280,0,0,407035,293475,12854,108338,821702,3691,22264,1960,8533,60736,26751
"PA0035","MONROEVILLE PUBLIC LIBRARY","Suburban",31741,289658,35,60001,229657,1979,1,0,0,18,15001,10340,805,220,95,490,27894,7893,14203,0,0,1492828,144347,7408,124883,1769466,3124,175334,32398,12721,72069,57255
"PA0036","MOON TOWNSHIP PUBLIC LIBRARY","Suburban",27240,282634,51,64749,217885,840,1,0,0,12,3809,2355,782,543,98,114,66700,60153,3117,753,27,313281,88800,4551,54780,461412,2362,50084,7129,10883,36765,47294
"PA0037","MT. LEBANON PUBLIC LIBRARY","Suburban",34075,709292,42,137592,571700,8619,1,0,0,39,13473,89981,1391,286,135,932,22502,7816,11771,1836,38,2156571,137959,7403,284629,2586562,3451,248872,17452,17606,107062,105350
"PA0038","NORTH VERSAILLES PUBLIC LIBRARY","Suburban",10074,27752,17,7677,20075,96,1,0,0,6,2194,774,147,69,32,41,427,23,59,339,5,101708,25203,1170,11597,139678,2221,7590,520,1608,13017,10600
"PA0039","OAKMONT CARNEGIE LIBRARY","Suburban",9250,101953,27,25363,76590,186,1,0,0,15,4084,3980,365,135,19,147,7594,2237,4157,1123,64,428026,43062,2378,118884,592350,2285,108642,6112,7192,29659,28917
"PA0040","COOPER-SIEGEL COMMUNITY LIBRARY","Suburban",29438,326385,38,90204,236181,861,1,1,0,23,5700,35966,1105,422,201,408,11739,5768,3106,1868,74,644192,123883,16700,209993,994768,4559,85689,5645,12313,46842,65530
"PA0041","PENN HILLS LIBRARY","Suburban",41059,205370,24,45671,159699,1956,1,0,0,41,16386,5567,853,377,182,271,12856,8558,2477,361,23,768995,184509,10078,28237,991819,2498,76730,21658,10730,78603,49509
"PA0042","CARNEGIE LIBRARY OF PITTSBURGH","City",392273,3402839,26,991922,2410917,18647,1,18,0,635,237065,556077,1951,826,394,629,30225,9108,8497,11009,102,27776034,6160233,466208,3166711,37569186,42799,1223424,18304,219194,441533,525650
"PA0043","NORTHERN TIER REGIONAL LIBRARY","Suburban",26633,258260,32,70645,187615,507,1,0,0,20,4190,11310,661,475,33,153,14596,12622,1685,0,0,683355,77532,3859,43496,808242,2744,55353,11205,9475,53460,53384
"PA0044","NORTHLAND PUBLIC LIBRARY AUTHORITY","Suburban",90007,1238947,39,264738,974209,7415,1,0,0,24,18185,36223,629,321,128,165,13026,7266,4328,651,15,2317476,335573,17763,362118,3032930,3175,197030,48743,33417,210800,176746
"PA0045","SHALER NORTH HILLS LIBRARY","Suburban",28132,444369,49,67881,376488,4605,1,0,0,17,6350,22307,1397,960,157,156,37785,29033,3329,3146,124,873680,122998,6686,241648,1245012,2614,91000,10363,11778,74728,70076
"PA0046","SOUTH PARK TOWNSHIP LIBRARY","Suburban",13727,117981,35,21610,96371,512,1,0,0,12,2531,6177,681,238,38,405,10021,5332,4439,0,0,535071,60355,3292,67122,665840,2361,41036,70168,5110,74995,18267
"PA0047","SPRINGDALE FREE PUBLIC LIBRARY","Suburban",9745,35357,20,13936,21421,48,1,0,0,7,1703,3380,232,169,24,38,1777,1120,232,207,1,132781,24424,1137,33822,192164,2204,13443,1816,1512,14319,8733
"PA0048","CARNEGIE FREE LIBRARY OF SWISSVALE","Suburban",10520,78672,21,31123,47549,477,1,0,0,5,4872,2965,411,180,111,77,4714,1739,509,2158,43,201744,52899,2630,132284,389557,2451,29971,13437,4751,20229,24365
"PA0049","UPPER ST. CLAIR TOWNSHIP LIBRARY","Suburban",21160,296580,41,72664,223916,1213,1,0,0,8,1591,7089,266,184,42,40,13135,9894,2304,0,0,888831,84650,4548,4188,982217,2031,106588,2412,11048,34124,63051
"PA0050","WILKINSBURG PUBLIC LIBRARY","Suburban",14349,86564,15,25990,60574,667,1,1,0,27,10489,12971,623,406,109,68,5410,3405,328,1217,40,432148,77918,4381,42361,556808,4124,12526,8200,3642,52944,25729
"PA0051","COMMUNITY LIBRARY OF CASTLE SHANNON","Suburban",8249,52712,22,16008,36704,141,1,0,0,13,1910,12796,282,163,12,99,3117,1891,510,685,8,170259,36946,2019,20878,230102,2227,80409,513,2353,33405,11063
"PA0052","PLEASANT HILLS PUBLIC LIBRARY","Suburban",8504,112960,44,19768,93192,476,1,0,0,8,1471,2820,501,222,22,200,7383,4354,1574,1277,57,284830,36529,1984,73609,396952,2548,56908,13200,6275,44395,26176
