FSCS Key,Library Name,Locale,Service Area Population,Total Circulation,Percentage of Children's Material Circulation,Electronic Material Circulation,Print Material Circulation,Other Physical Item Circulation
IL0344,MOKENA COMMUNITY PUBLIC LIBRARY DISTRICT,Suburban,"19,940","95,564",53,"29,181","66,383",656
IL0345,MOLINE PUBLIC LIBRARY,City,"42,985","225,579",3,"44,572","181,007","3,950"
IL0346,EDWARD CHIPMAN PUBLIC LIBRARY,Town,"6,150","22,443",49,"4,611","17,832",0
IL0347,ALLERTON PUBLIC LIBRARY DISTRICT,Rural,"6,133","71,052",39,"9,409","61,643",0
IL0348,MOORE MEMORIAL LIBRARY DISTRICT,Rural,633,338,4,0,338,0
IL0349,MORRIS AREA PUBLIC LIBRARY DISTRICT,Town,"18,914","74,766",41,"12,904","61,862",557
IL0350,ODELL PUBLIC LIBRARY,Town,"4,085","26,523",41,"3,943","22,580",553
IL0351,KITCHELL MEMORIAL LIBRARY,Rural,"1,173","2,668",21,332,"2,336",51
IL0352,MORTON PUBLIC LIBRARY DISTRICT,Suburban,"17,117","266,696",44,"33,626","233,070","1,058"
IL0353,MORTON GROVE PUBLIC LIBRARY,Suburban,"25,297","272,571",49,"52,005","220,566","7,674"
IL0355,MOUNDS PUBLIC LIBRARY,Rural,661,575,30,0,575,0
IL0356,MOUNT CARMEL PUBLIC LIBRARY,Town,"7,015","55,581",4,"1,558","54,023",320
IL0357,MOUNT CARROLL DISTRICT LIBRARY,Rural,"2,582","7,246",37,"1,588","5,658",18
IL0358,MOUNT MORRIS PUBLIC LIBRARY,Town,"2,861","15,231",30,"2,929","12,302",4
IL0359,MOUNT OLIVE PUBLIC LIBRARY,Rural,"2,015","2,702",13,379,"2,323",0
IL0360,MOUNT PROSPECT PUBLIC LIBRARY,Suburban,"56,852","929,643",47,"120,749","808,894","16,308"
IL0361,MOUNT PULASKI PUBLIC LIBRARY DISTRICT,Rural,"2,721","15,871",36,"1,566","14,305",0
IL0362,BROWN COUNTY PUBLIC LIBRARY DISTRICT,Town,"6,238","30,192",46,"4,413","25,779",283
IL0363,C.E. BREHM MEMORIAL PUBLIC LIBRARY DISTRICT,Town,"36,213","87,140",28,"10,955","76,185",562
IL0364,MOUNT ZION DISTRICT LIBRARY,Rural,"12,467","90,243",37,"14,565","75,678","1,021"
IL0365,MOWEAQUA PUBLIC LIBRARY DISTRICT,Rural,"2,701","9,810",38,"1,102","8,708",0
IL0366,SALLIE LOGAN PUBLIC LIBRARY,Town,"7,093","29,257",32,"4,717","24,540",353
IL0367,NANCY L. MCCONATHY PUBLIC LIBRARY DISTRICT,Suburban,"9,345","11,607",29,"1,393","10,214","1,586"
IL0368,NAPERVILLE PUBLIC LIBRARY,City,"149,540","3,248,498",41,"515,235","2,733,263","3,800"
IL0369,NASHVILLE PUBLIC LIBRARY,Town,"3,105","15,424",37,"1,670","13,754",50
IL0370,NAUVOO PUBLIC LIBRARY,Rural,950,"8,533",54,710,"7,823",0
IL0371,NEOGA PUBLIC LIBRARY DISTRICT,Rural,"2,938","5,315",10,921,"4,394",0
IL0372,NEPONSET PUBLIC LIBRARY,Rural,658,"2,741",46,264,"2,477",0
IL0373,NEW ATHENS DISTRICT LIBRARY,Rural,"3,991","7,643",19,996,"6,647",140
IL0374,NEW BADEN PUBLIC LIBRARY,Town,"3,428","9,713",33,"1,444","8,269",3
IL0375,NEW LENOX PUBLIC LIBRARY DISTRICT,Suburban,"40,094","229,218",30,"39,779","189,439","1,144"
IL0376,NEW WINDSOR PUBLIC LIBRARY DISTRICT,Rural,"1,147","2,536",22,0,"2,536",46
IL0378,NEWTON PUBLIC LIBRARY DISTRICT,Town,"4,616","36,313",20,"4,671","31,642",199
IL0379,NILES-MAINE DISTRICT LIBRARY,Suburban,"59,181","681,381",47,"77,880","603,501","20,241"
IL0380,NIPPERSINK PUBLIC LIBRARY DISTRICT,Rural,"11,083","59,914",42,"10,953","48,961",0
IL0381,NOKOMIS PUBLIC LIBRARY,Town,"2,787","9,026",31,350,"8,676",93
IL0382,NORMAL PUBLIC LIBRARY,Suburban,"52,736","601,394",61,"54,996","546,398","9,670"
IL0383,NORRIS CITY MEMORIAL PUBLIC LIBRARY DISTRICT,Rural,"4,454","19,219",8,"1,825","17,394",0
IL0384,MESSENGER PUBLIC LIBRARY OF NORTH AURORA,Suburban,"18,261","153,139",39,"32,086","121,053","2,260"
IL0385,NORTH CHICAGO PUBLIC LIBRARY,Suburban,"30,759","4,379",41,73,"4,306",45
IL0386,NORTH RIVERSIDE PUBLIC LIBRARY DISTRICT,Suburban,"7,426","67,676",33,"37,799","29,877","3,167"
IL0387,NORTH SUBURBAN PUBLIC LIBRARY DISTRICT,Suburban,"69,307","338,532",28,"81,391","257,141","2,065"
IL0388,NORTHBROOK PUBLIC LIBRARY,Suburban,"35,222","1,017,829",45,"166,362","851,467","88,341"
IL0389,NORTHLAKE PUBLIC LIBRARY DISTRICT,Suburban,"26,667","96,946",33,"8,894","88,052","6,398"
IL0390,OAK BROOK PUBLIC LIBRARY,Suburban,"8,163","111,856",43,"13,865","97,991",898
IL0391,OAK LAWN PUBLIC LIBRARY,Suburban,"58,362","404,337",30,"60,403","343,934","6,329"
IL0392,OAK PARK PUBLIC LIBRARY,Suburban,"54,583","1,189,811",44,"363,147","826,664","6,350"
IL0393,OAKWOOD PUBLIC LIBRARY DISTRICT,Rural,"5,572","11,705",29,"1,599","10,106",79
IL0394,ODELL PUBLIC LIBRARY DISTRICT,Rural,"1,386","7,996",26,853,"7,143",3
IL0395,O'FALLON PUBLIC LIBRARY,Suburban,"32,289","288,290",38,"43,845","244,445","7,371"
IL0396,OGDEN ROSE PUBLIC LIBRARY,Rural,729,"1,835",25,25,"1,810",0
IL0397,OGLESBY PUBLIC LIBRARY DISTRICT,Town,"4,217","12,640",21,"2,053","10,587",46
IL0398,OHIO PUBLIC LIBRARY DISTRICT,Rural,912,"3,040",22,393,"2,647",0
IL0400,OLNEY PUBLIC LIBRARY,Town,"8,701","71,272",25,"11,999","59,273",180
IL0401,ONARGA COMMUNITY PUBLIC LIBRARY DISTRICT,Town,"1,942","3,936",24,23,"3,913",0
IL0402,GREIG MEMORIAL LIBRARY,Rural,696,"1,677",11,0,"1,677",0
IL0404,OREGON PUBLIC LIBRARY DISTRICT,Town,"6,108","28,218",15,"4,003","24,215",332
IL0405,ORLAND PARK PUBLIC LIBRARY,Suburban,"58,703","466,350",33,"94,041","372,309","13,288"
IL0406,OSWEGO PUBLIC LIBRARY DISTRICT,Suburban,"70,508","802,939",55,"80,485","722,454","10,830"
IL0407,REDDICK PUBLIC LIBRARY DISTRICT,Town,"23,958","110,897",32,"16,137","94,760","1,271"
IL0408,PALATINE PUBLIC LIBRARY DISTRICT,Suburban,"89,395","1,234,655",55,"234,678","999,977","20,936"
IL0409,PALESTINE PUBLIC LIBRARY DISTRICT,Rural,"2,193","10,655",16,"1,990","8,665",0
IL0410,PALOS HEIGHTS PUBLIC LIBRARY,Suburban,"12,068","113,935",35,"32,011","81,924",121
IL0411,PALOS PARK PUBLIC LIBRARY,Suburban,"4,899","43,104",22,"11,265","31,839",164
IL0412,CARNEGIE-SCHUYLER LIBRARY,Town,"5,199","16,264",26,0,"16,264",375
IL0413,PARIS CARNEGIE PUBLIC LIBRARY,Town,"8,291","28,753",14,"6,304","22,449",457
IL0414,PARK FOREST PUBLIC LIBRARY,Suburban,"21,687","62,521",25,"11,521","51,000",32
IL0415,PARK RIDGE PUBLIC LIBRARY,Suburban,"39,656","477,988",51,"78,987","399,001","9,668"
IL0416,PATOKA PUBLIC LIBRARY,Rural,525,"1,089",23,373,716,0
IL0417,PAW PAW PUBLIC LIBRARY DISTRICT,Rural,830,"3,445",52,712,"2,733",0
IL0418,PAWNEE PUBLIC LIBRARY,Town,"2,678","9,537",26,"1,800","7,737",0
IL0419,PAXTON CARNEGIE LIBRARY,Town,"4,450","27,029",26,"1,705","25,324",30
IL0420,PEARL CITY PUBLIC LIBRARY DISTRICT,Rural,"2,432","5,143",43,302,"4,841",1
IL0421,PECATONICA PUBLIC LIBRARY DISTRICT,Rural,"5,512","38,614",42,"8,844","29,770",322
IL0422,PEKIN PUBLIC LIBRARY,Suburban,"31,731","182,278",36,"21,406","160,872",210
IL0423,PEORIA PUBLIC LIBRARY,City,"113,150","706,668",35,"109,079","597,589",366
IL0424,PEORIA HEIGHTS PUBLIC LIBRARY,Suburban,"5,908","38,371",45,"1,022","37,349",294
IL0425,PEOTONE PUBLIC LIBRARY DISTRICT,Town,"16,851","47,737",33,"12,629","35,108",389
IL0426,PERU PUBLIC LIBRARY,Town,"9,896","53,705",45,819,"52,886","1,067"
IL0427,PETERSBURG PUBLIC LIBRARY,Town,"2,258","28,233",40,"3,203","25,030",9
IL0428,PHILO PUBLIC LIBRARY DISTRICT,Rural,"1,906","13,253",41,"1,811","11,442",208
IL0429,PINCKNEYVILLE PUBLIC LIBRARY,Town,"5,066","6,478",15,751,"5,727",0
IL0430,PIPER CITY PUBLIC LIBRARY DISTRICT,Rural,"1,021","2,551",20,390,"2,161",0
IL0431,PITTSFIELD PUBLIC LIBRARY,Town,"4,206","32,372",16,"1,640","30,732",0
IL0432,PLAINFIELD PUBLIC LIBRARY DISTRICT,Suburban,"79,055","522,936",47,"90,646","432,290","1,922"
IL0434,PLANO COMMUNITY LIBRARY DISTRICT,Suburban,"14,092","67,775",53,"7,816","59,959",80
IL0435,POLO PUBLIC LIBRARY DISTRICT,Rural,"2,692","14,302",36,"2,495","11,807",168
IL0436,PONTIAC PUBLIC LIBRARY,Town,"11,150","38,078",20,"5,260","32,818",28
IL0437,POPLAR CREEK PUBLIC LIBRARY DISTRICT,Suburban,"65,645","249,581",45,"39,604","209,977","1,835"
IL0438,POTOMAC PUBLIC LIBRARY DISTRICT,Rural,"1,195",483,64,0,483,0
IL0439,PRAIRIE TRAILS PUBLIC LIBRARY DISTRICT,Suburban,"30,376","84,926",44,"9,288","75,638",949
IL0440,PRINCETON PUBLIC LIBRARY,Town,"7,832","36,890",38,"9,320","27,570",100
IL0441,LILLIE M. EVANS LIBRARY DISTRICT,Rural,"3,840","34,942",48,"2,916","32,026",779
IL0442,HENRY C. ADAMS MEMORIAL LIBRARY,Rural,"1,946","4,901",11,597,"4,304",115
IL0443,PROSPECT HEIGHTS PUBLIC LIBRARY DISTRICT,Suburban,"15,044","209,156",48,"36,276","172,880","3,045"
IL0444,PUTNAM COUNTY PUBLIC LIBRARY DISTRICT,Rural,"5,635","24,334",30,"6,021","18,313",733
IL0445,QUINCY PUBLIC LIBRARY,Town,"39,463","369,744",31,"54,666","315,078","3,929"
IL0446,RANTOUL PUBLIC LIBRARY,Town,"12,371","27,677",24,"6,223","21,454",38
IL0447,RED BUD PUBLIC LIBRARY,Town,"3,804","11,920",35,"1,732","10,188",69
IL0448,RICHTON PARK PUBLIC LIBRARY DISTRICT,Suburban,"11,738","26,900",27,"4,090","22,810",592
IL0450,ELWOOD LIBRARY DISTRICT,Rural,"1,459","3,777",29,940,"2,837",31
IL0451,RIVER FOREST PUBLIC LIBRARY,Suburban,"11,717","226,750",44,"53,025","173,725","3,864"
IL0452,RIVER GROVE PUBLIC LIBRARY DISTRICT,Suburban,"10,578","28,297",24,"9,899","18,398",26
IL0453,RIVER VALLEY DISTRICT LIBRARY,Suburban,"5,153","41,760",45,"7,022","34,738","2,785"
IL0454,RIVERDALE PUBLIC LIBRARY DISTRICT,Suburban,"10,758","11,899",25,"9,801","2,098",0
IL0456,ROBERT R. JONES PUBLIC LIBRARY DISTRICT,Suburban,"4,855","25,944",44,"9,785","16,159",12
IL0457,ROBINSON PUBLIC LIBRARY DISTRICT,Town,"14,676","42,699",31,"4,263","38,436",77
IL0458,FLAGG-ROCHELLE PUBLIC LIBRARY DISTRICT,Town,"13,296","30,052",42,"13,528","16,524",62
IL0459,ROCHESTER PUBLIC LIBRARY DISTRICT,Suburban,"7,540","96,312",33,"37,435","58,877","4,037"
IL0460,ROCK FALLS PUBLIC LIBRARY DISTRICT,Town,"10,570","24,812",39,"5,082","19,730",0
IL0461,ROCK ISLAND PUBLIC LIBRARY,City,"37,108","210,374",17,"74,393","135,981","2,083"
IL0462,ROCKFORD PUBLIC LIBRARY,City,"148,655","615,583",26,"184,854","430,729","2,340"
IL0463,ROLLING MEADOWS LIBRARY,Suburban,"24,200","176,387",42,"32,998","143,389","3,724"
IL0464,ROODHOUSE PUBLIC LIBRARY,Town,"1,578","10,422",9,171,"10,251",3
IL0465,ROSELLE PUBLIC LIBRARY DISTRICT,Suburban,"22,744","180,719",48,"52,236","128,483","4,286"
IL0466,ROSICLARE MEMORIAL PUBLIC LIBRARY,Rural,980,"2,764",22,112,"2,652",26
IL0467,ROUND LAKE AREA PUBLIC LIBRARY DISTRICT,Suburban,"39,675","156,500",44,"25,800","130,700","12,058"
IL0468,ROXANA PUBLIC LIBRARY DISTRICT,Suburban,"1,476","10,628",37,"1,574","9,054",22
IL0469,ROYALTON PUBLIC LIBRARY DISTRICT,Rural,"1,068",851,9,0,851,0
IL0470,RUSHVILLE PUBLIC LIBRARY,Town,"3,005","17,255",21,"1,748","15,507","1,000"
IL0471,SAINT CHARLES PUBLIC LIBRARY DISTRICT,Suburban,"55,889","903,356",44,"105,031","798,325","40,236"
IL0472,SAINT ELMO PUBLIC LIBRARY DISTRICT,Rural,"6,064","14,356",16,"3,107","11,249",8
IL0473,SAINT JOSEPH TOWNSHIP-SWEARINGEN MEMORIAL LIBRARY,Town,"5,598","33,262",37,"7,638","25,624",83
IL0474,BRYAN-BENNETT LIBRARY,Town,"7,282","24,866",26,"3,501","21,365",0
IL0475,SALEM TOWNSHIP PUBLIC LIBRARY DISTRICT,Town,"1,117","6,301",27,514,"5,787",72
IL0476,SANDWICH PUBLIC LIBRARY DISTRICT,Suburban,"7,714","37,958",31,"5,833","32,125",326
IL0477,SAVANNA PUBLIC LIBRARY DISTRICT,Town,"3,748","5,788",32,0,"5,788",0
IL0479,SCHAUMBURG TOWNSHIP DISTRICT LIBRARY,City,"130,345","2,027,286",39,"237,435","1,789,851","121,080"
IL0480,SCHILLER PARK PUBLIC LIBRARY,Suburban,"11,709","22,782",50,"2,693","20,089",314
IL0481,SCHMALING MEMORIAL PUBLIC LIBRARY DISTRICT,Town,"3,647","20,575",54,845,"19,730",92
IL0482,SELBY TOWNSHIP LIBRARY DISTRICT,Rural,"2,159","1,931",13,110,"1,821",0
IL0483,SENECA PUBLIC LIBRARY DISTRICT,Rural,"4,406","23,959",41,"7,548","16,411",0
IL0484,SESSER PUBLIC LIBRARY,Rural,"1,888","2,379",19,449,"1,930",8
IL0485,FLEWELLIN MEMORIAL LIBRARY,Rural,863,"2,224",31,224,"2,000",0
IL0486,SHAWNEETOWN PUBLIC LIBRARY,Rural,"1,054",486,44,30,456,1
IL0487,SHEFFIELD PUBLIC LIBRARY,Rural,821,"1,553",51,140,"1,413",0
IL0488,SHELBYVILLE PUBLIC LIBRARY,Town,"4,674","29,803",44,"3,782","26,021",8
IL0489,SHELDON PUBLIC LIBRARY DISTRICT,Rural,"1,638","4,411",30,"1,780","2,631",0
IL0490,SHERRARD PUBLIC LIBRARY DISTRICT,Rural,"6,232","34,339",49,"5,417","28,922",124
IL0491,SHOREWOOD-TROY PUBLIC LIBRARY DISTRICT,Suburban,"21,780","185,102",43,"31,057","154,045","2,280"
IL0492,SIDELL DISTRICT LIBRARY,Rural,"1,605","6,246",9,160,"6,086",2
IL0493,SIDNEY COMMUNITY LIBRARY,Rural,"1,208","4,597",11,978,"3,619",0
IL0494,SILVIS PUBLIC LIBRARY,Suburban,"8,003","24,701",24,"5,577","19,124",414
IL0495,SKOKIE PUBLIC LIBRARY,City,"67,824","1,251,688",51,"100,000","1,151,688","18,186"
IL0496,SOMONAUK PUBLIC LIBRARY DISTRICT,Rural,"9,255","35,916",33,"3,465","32,451",160
IL0497,SOUTH BELOIT PUBLIC LIBRARY,Suburban,"7,989","14,822",30,"4,135","10,687",21
IL0498,SOUTH COUNTY PUBLIC LIBRARY DISTRICT,Rural,"1,122","2,186",40,0,"2,186",0
IL0499,SOUTH HOLLAND PUBLIC LIBRARY,Suburban,"21,465","66,514",19,"7,745","58,769","3,119"
IL0501,SPARTA PUBLIC LIBRARY,Town,"4,095","9,630",28,784,"8,846",11
IL0502,SPOON RIVER LIBRARY DISTRICT,Rural,"3,106","4,823",30,"1,084","3,739",14
IL0503,RICHARD A. MAUTINO MEMORIAL LIBRARY,Town,"5,582","14,670",32,"2,340","12,330",0
IL0504,LINCOLN LIBRARY,City,"114,394","443,163",28,"124,732","318,431","1,409"
IL0506,ALLIN TOWNSHIP LIBRARY,Rural,877,678,10,0,678,0
IL0507,STAUNTON PUBLIC LIBRARY,Town,"5,054","3,629",30,"1,672","1,957",0
IL0508,STEELEVILLE AREA PUBLIC LIBRARY DISTRICT,Town,"4,182","13,597",46,"1,544","12,053",0
IL0509,STEGER-SOUTH CHICAGO HEIGHTS PUBLIC LIBRARY DISTRICT,Suburban,"13,869","22,659",46,"4,217","18,442",445
IL0510,STERLING PUBLIC LIBRARY,Town,"14,764","61,770",38,"12,199","49,571","1,170"
IL0511,STICKNEY-FOREST VIEW PUBLIC LIBRARY DISTRICT,Suburban,"10,833","38,620",52,"3,418","35,202","1,163"
IL0512,JULIA HULL DISTRICT LIBRARY,Town,"8,022","28,278",42,"6,946","21,332",283
IL0513,STOCKTON TOWNSHIP PUBLIC LIBRARY,Rural,"2,282","12,407",33,"2,440","9,967",1
IL0514,STONINGTON TOWNSHIP PUBLIC LIBRARY,Rural,993,"3,115",42,225,"2,890",0
IL0515,STREATOR PUBLIC LIBRARY,Town,"12,500","207,923",8,"166,789","41,134",94
IL0516,SUGAR GROVE PUBLIC LIBRARY DISTRICT,Rural,"16,114","114,343",43,"23,436","90,907","2,518"
IL0517,ELIZABETH TITUS MEMORIAL LIBRARY,Town,"4,413","44,995",29,"3,376","41,619",858
IL0519,SYCAMORE PUBLIC LIBRARY,Suburban,"18,577","176,223",41,"29,863","146,360","22,233"
IL0520,TALCOTT FREE LIBRARY DISTRICT,Suburban,"11,060","63,081",39,"12,364","50,717",0
IL0521,TAYLORVILLE PUBLIC LIBRARY,Town,"10,506","43,510",8,"6,768","36,742",171
IL0522,YORK TOWNSHIP PUBLIC LIBRARY,Rural,"2,740","11,012",24,"1,193","9,819",35
IL0523,THORNTON PUBLIC LIBRARY,Suburban,"2,386","8,429",21,160,"8,269",68
IL0524,THREE RIVERS PUBLIC LIBRARY DISTRICT,Suburban,"28,751","134,716",37,"29,970","104,746","1,266"
IL0525,TINLEY PARK PUBLIC LIBRARY,Suburban,"55,971","611,878",37,"96,941","514,937","12,656"
IL0526,TISKILWA PUBLIC LIBRARY,Rural,"1,358","7,995",29,"1,320","6,675",7
IL0527,SUMPTER TOWNSHIP LIBRARY,Rural,"2,047","7,183",28,"1,051","6,132",0
IL0528,TOLONO PUBLIC LIBRARY DISTRICT,Suburban,"13,315","81,374",42,"22,066","59,308","1,033"
IL0529,TOLUCA PUBLIC LIBRARY DISTRICT,Rural,"1,338","3,160",29,173,"2,987",0
IL0530,TOULON PUBLIC LIBRARY DISTRICT,Rural,"2,199","20,162",12,877,"19,285",0
IL0531,TOWANDA DISTRICT LIBRARY,Suburban,"1,939","19,281",60,"1,535","17,746",26
IL0532,TREMONT DISTRICT LIBRARY,Rural,"4,937","70,651",56,"9,878","60,773",501
IL0533,TRENTON PUBLIC LIBRARY,Town,"2,690","16,288",26,"2,028","14,260",13
IL0534,TRI-TOWNSHIP PUBLIC LIBRARY DISTRICT,Suburban,"16,886","87,617",47,"4,012","83,605","3,096"
IL0535,TUSCOLA PUBLIC LIBRARY,Town,"4,636","22,472",34,"3,468","19,004",38
IL0536,COLONA DISTRICT PUBLIC LIBRARY,Suburban,"6,621","22,639",30,"4,167","18,472",174
IL0537,UNIVERSITY PARK PUBLIC LIBRARY DISTRICT,Suburban,"7,145","13,583",61,200,"13,383",75
IL0538,URBANA FREE LIBRARY,City,"38,336","616,484",32,"102,137","514,347","16,933"
IL0539,UTICA PUBLIC LIBRARY DISTRICT,Town,"2,454","10,448",33,"1,705","8,743",2
IL0540,VALLEY DISTRICT LIBRARY,Rural,596,"2,075",50,225,"1,850",0
IL0541,VALMEYER PUBLIC LIBRARY DISTRICT,Rural,"2,490","4,982",48,560,"4,422",0
IL0542,EVANS PUBLIC LIBRARY DISTRICT,Town,"11,960","38,853",34,"2,787","36,066",127
IL0543,VENICE PUBLIC LIBRARY,Suburban,"1,498",2,0,0,2,0
IL0544,VERMONT PUBLIC LIBRARY,Rural,570,982,45,17,965,0
IL0545,VERNON AREA PUBLIC LIBRARY DISTRICT,Suburban,"44,206","638,470",52,"131,340","507,130","11,841"
IL0546,VICTORIA PUBLIC LIBRARY DISTRICT,Rural,769,"4,700",35,0,"4,700",0
IL0547,VIENNA CARNEGIE PUBLIC LIBRARY,Rural,"1,343","6,143",12,"1,506","4,637",31
IL0548,CAMARGO TOWNSHIP DISTRICT LIBRARY,Rural,"3,963","21,359",24,"3,235","18,124",0
IL0549,VILLA PARK PUBLIC LIBRARY,Suburban,"22,263","253,287",48,"29,409","223,878","5,052"
IL0550,VIOLA PUBLIC LIBRARY DISTRICT,Rural,"2,078","20,765",42,350,"20,415",0
IL0551,GRAND PRAIRIE OF THE WEST PUBLIC LIBRARY DISTRICT,Town,"4,547","8,777",4,"1,530","7,247",0
IL0552,VIRGINIA MEMORIAL PUBLIC LIBRARY,Rural,"1,514","3,846",26,500,"3,346",10
IL0553,WALNUT PUBLIC LIBRARY DISTRICT,Rural,"1,597","7,127",54,"1,014","6,113",23
IL0554,WARREN TOWNSHIP PUBLIC LIBRARY,Rural,"1,483","27,244",54,"17,500","9,744",100
IL0555,WARREN COUNTY PUBLIC LIBRARY DISTRICT,Town,"16,831","80,508",29,"4,976","75,532",263
IL0556,WARREN-NEWPORT PUBLIC LIBRARY DISTRICT,Suburban,"66,477","477,742",34,"104,367","373,375","8,345"
IL0557,WARRENVILLE PUBLIC LIBRARY DISTRICT,Suburban,"14,096","192,212",42,"30,523","161,689","2,341"
IL0558,WARSAW PUBLIC LIBRARY,Rural,"1,510","6,038",9,301,"5,737",514
IL0559,WASHINGTON DISTRICT LIBRARY,Suburban,"24,589","183,008",41,"20,435","162,573","1,648"
IL0560,MORRISON-TALBOTT LIBRARY,Town,"11,013","85,575",39,"15,117","70,458",335
IL0561,CLINTON TOWNSHIP PUBLIC LIBRARY,Rural,"1,828","12,239",30,"2,608","9,631",51
IL0562,WATSEKA PUBLIC LIBRARY,Town,"4,679","31,950",33,"5,284","26,666",56
IL0563,WAUCONDA AREA PUBLIC LIBRARY DISTRICT,Suburban,"28,941","360,482",47,"48,130","312,352","7,327"
IL0564,WAUKEGAN PUBLIC LIBRARY,Suburban,"89,321","136,735",38,"27,553","109,182","2,753"
IL0565,WAVERLY PUBLIC LIBRARY,Rural,"1,194",927,7,0,927,0
IL0566,WAYNE CITY KISSNER PUBLIC LIBRARY,Rural,994,"1,849",14,0,"1,849",0
IL0567,WAYNESVILLE TOWNSHIP LIBRARY,Rural,640,"3,332",45,119,"3,213",0
IL0568,WELDON PUBLIC LIBRARY DISTRICT,Rural,690,"5,000",37,573,"4,427",0
IL0569,BOND PUBLIC LIBRARY,Rural,974,"3,700",47,0,"3,700",10
IL0570,WEST CHICAGO PUBLIC LIBRARY DISTRICT,Suburban,"28,928","157,581",42,"36,972","120,609","5,882"
IL0571,WEST FRANKFORT PUBLIC LIBRARY,Town,"7,275","9,011",23,"1,422","7,589",11
IL0572,WEST SALEM PUBLIC LIBRARY,Rural,786,"4,069",12,409,"3,660",0
IL0573,WESTCHESTER PUBLIC LIBRARY,Suburban,"16,892","81,430",35,"18,147","63,283","1,015"
IL0574,WESTERN DISTRICT LIBRARY,Rural,"4,768","20,067",49,"2,165","17,902",645
IL0575,THOMAS FORD MEMORIAL LIBRARY,Suburban,"13,629","236,997",48,"47,415","189,582","2,807"
IL0576,WESTMONT PUBLIC LIBRARY,Suburban,"24,429","259,759",42,"42,175","217,584","11,829"
IL0577,WESTVILLE PUBLIC LIBRARY DISTRICT,Suburban,"11,499","17,490",20,964,"16,526",0
IL0578,WHEATON PUBLIC LIBRARY,Suburban,"53,970","1,075,121",45,"156,629","918,492","30,292"
IL0579,WHITE HALL TOWNSHIP LIBRARY,Town,"2,557","4,297",28,974,"3,323",4
IL0580,CARLOCK PUBLIC LIBRARY DISTRICT,Rural,"2,898","15,989",48,"2,775","13,214",17
IL0581,WILLIAM LEONARD PUBLIC LIBRARY DISTRICT,Suburban,"4,675",177,17,0,177,10
IL0584,WILMETTE PUBLIC LIBRARY DISTRICT,Suburban,"28,180","791,022",55,"174,186","616,836","15,726"
IL0585,WILMINGTON PUBLIC LIBRARY DISTRICT,Town,"8,970","60,272",29,"7,581","52,691","2,490"
IL0586,WINCHESTER PUBLIC LIBRARY,Rural,"1,574","5,001",18,"1,143","3,858",0
IL0587,WINDSOR STORM MEMORIAL PUBLIC LIBRARY DISTRICT,Rural,"1,397","6,106",24,449,"5,657",10
IL0588,WINFIELD PUBLIC LIBRARY,Suburban,"9,835","70,285",37,"23,086","47,199","2,966"
IL0589,WINNEBAGO PUBLIC LIBRARY DISTRICT,Suburban,"7,299","34,259",46,0,"34,259",83
IL0590,WINNETKA-NORTHFIELD PUBLIC LIBRARY DISTRICT,Suburban,"18,495","412,029",50,"82,139","329,890","3,984"
IL0591,WITT TOWNSHIP MEMORIAL LIBRARY,Town,"1,043","1,190",11,0,"1,190",0
IL0592,WOOD DALE PUBLIC LIBRARY DISTRICT,Suburban,"12,866","71,677",40,"13,276","58,401",606
IL0593,WOOD RIVER PUBLIC LIBRARY,Suburban,"10,464","41,975",36,"2,170","39,805",218
IL0594,WOODRIDGE PUBLIC LIBRARY,Suburban,"34,158","507,310",44,"64,274","443,036","6,918"
IL0595,WOODSTOCK PUBLIC LIBRARY,Town,"25,630","211,328",40,"48,024","163,304",98
IL0596,WORDEN PUBLIC LIBRARY DISTRICT,Rural,"1,447","4,169",35,"1,118","3,051",24
IL0597,WORTH PUBLIC LIBRARY DISTRICT,Suburban,"10,974","29,406",26,"5,260","24,146",171
IL0598,RAYMOND A SAPP MEMORIAL TOWNSHIP LIBRARY,Rural,"1,242","2,882",33,957,"1,925",0
IL0599,WYOMING PUBLIC LIBRARY DISTRICT,Rural,"2,052","19,694",43,"2,146","17,548","1,373"
IL0600,YORKVILLE PUBLIC LIBRARY,Suburban,"21,533","97,112",49,"16,337","80,775",158
IL0601,ZEIGLER PUBLIC LIBRARY,Rural,"1,484","2,767",12,0,"2,767",0
IL0602,ZION-BENTON PUBLIC LIBRARY DISTRICT,Suburban,"42,836","168,598",32,"49,441","119,157","1,823"
IL0603,VESPASIAN WARNER PUBLIC LIBRARY DISTRICT,Town,"10,688","53,661",29,"8,891","44,770",843
IL0604,WEST UNION DISTRICT LIBRARY,Rural,901,"7,925",42,61,"7,864",50
IL0606,BRIGHTON MEMORIAL LIBRARY DISTRICT,Rural,"2,260","18,930",35,"2,161","16,769",6
IL0607,FARMERSVILLE-WAGGONER PUBLIC LIBRARY DISTRICT,Rural,"1,415","17,094",34,"2,149","14,945",0
IL0608,LINCOLNWOOD PUBLIC LIBRARY DISTRICT,Suburban,"13,469","165,831",44,"28,847","136,984","1,544"
IL0609,MELROSE PARK PUBLIC LIBRARY,Suburban,"24,796","24,913",33,"3,911","21,002",97
IL0610,SMITHTON PUBLIC LIBRARY DISTRICT,Town,"5,225","25,759",43,"3,552","22,207",318
IL0612,FOUR STAR PUBLIC LIBRARY DISTRICT,Rural,"4,337","9,211",48,"1,815","7,396",13
