FSCS Key,Library Name,Locale,Service Area Population,Total Circulation,Percentage of Children's Material Circulation,Electronic Material Circulation,Print Material Circulation,Other Physical Item Circulation
AK0102,EGEGIK VILLAGE LIBRARY,Rural,39,23,30,11,12,4
AK0103,TRAPPER CREEK PUBLIC LIBRARY,Rural,"2,964","108,108",2,"98,113","9,995",0
AK0104,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,Rural,176,200,75,0,200,0
AK0113,OUZINKIE TRIBAL MEDIA CENTER,Rural,109,"2,080",24,0,"2,080",0
AK0115,UNALASKA PUBLIC LIBRARY,Rural,"4,254","39,092",21,"1,770","37,322",0
AK0116,ANIAK PUBLIC LIBRARY,Rural,507,347,14,0,347,0
AK0117,HYDER PUBLIC LIBRARY,Rural,48,876,11,0,876,
AK0117,HYDER PUBLIC LIBRARY,Rural,48,,,,,-1
AK0120,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,Rural,100,"2,500",100,0,"2,500",
AK0120,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,Rural,100,,,,,-1
AK0121,BLACKWELL COMMUNITY/SCHOOL LIBRARY,Rural,70,200,75,0,200,0
AK0122,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,Rural,210,200,75,0,200,0
AK0124,LAKE MINCHUMINA COMMUNITY LIBRARY,Rural,30,"1,250",0,0,"1,250",0
AK0126,IGIUGIG TRIBAL LIBRARY,Rural,68,80,54,24,56,15
AK0127,COFFMAN COVE COMMUNITY LIBRARY,Rural,127,"1,305",14,102,"1,203",27
AK0130,THORNE BAY PUBLIC LIBRARY,Rural,476,"2,609",37,232,"2,377",0
AK0134,WHALE PASS COMMUNITY LIBRARY,Rural,86,"3,129",6,106,"3,023",249
AK0137,KLUKWAN COMMUNITY/SCHOOL LIBRARY,Rural,87,694,14,0,694,0
AK0139,SAMUEL B. FOSS LIBRARY,Rural,43,"1,117",0,21,"1,096",82
AK0140,EDNA BAY COMMUNITY LIBRARY,Rural,25,479,0,0,479,
AK0140,EDNA BAY COMMUNITY LIBRARY,Rural,25,,,,,-1
AL0001,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,Town,"63,652",0,,0,0,0
AL0002,ARLEY PUBLIC LIBRARY,Rural,340,"10,064",26,"1,087","8,977","1,418"
AL0005,DOUBLE SPRINGS PUBLIC LIBRARY,Rural,"1,062","2,883",16,693,"2,190",61
AL0006,HALEYVILLE PUBLIC LIBRARY,Town,"4,104","10,763",27,"3,719","7,044",84
AL0007,JASPER PUBLIC LIBRARY,Town,"13,278","37,632",27,"8,901","28,731",161
AL0009,SUMITON PUBLIC LIBRARY,Town,"2,330","12,668",9,"9,840","2,828",29
AL0010,CHEAHA REGIONAL LIBRARY,Rural,"99,877","99,641",6,"76,735","22,906",0
AL0011,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,Town,"5,940","20,847",42,"1,746","19,101","2,269"
AL0012,ASHLAND CITY PUBLIC LIBRARY,Rural,"1,872","9,660",33,"2,557","7,103",0
AL0013,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,Town,"11,939","186,880",37,"11,218","175,662","9,805"
AL0014,CHEROKEE COUNTY PUBLIC LIBRARY,Town,"3,528","47,722",11,"2,658","45,064",0
AL0015,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,Town,"4,781","14,974",33,"1,118","13,856",0
AL0016,LINCOLN PUBLIC LIBRARY,Rural,"6,979","8,913",37,"3,014","5,899",21
AL0017,LINEVILLE PUBLIC LIBRARY,Rural,"2,221","2,942",11,0,"2,942",0
AL0018,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,Rural,"3,408","17,095",45,0,"17,095",36
AL0019,OXFORD PUBLIC LIBRARY,City,"21,216","74,953",45,"12,185","62,768",539
AL0020,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,Town,"15,300","14,767",29,124,"14,643",8
AL0022,ABBEVILLE MEMORIAL LIBRARY,Rural,"7,514","11,840",22,"1,832","10,008",0
AL0024,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,Town,"9,709","19,809",34,"4,694","15,115",0
AL0025,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,Rural,"5,983","7,296",40,795,"6,501",202
AL0026,OZARK - DALE COUNTY PUBLIC LIBRARY,Town,"36,876","17,821",28,"6,119","11,702",65
AL0029,CLIO - ELTON B. STEPHENS LIBRARY,Rural,"3,372","4,950",4,0,"4,950",0
AL0030,LOUISVILLE PUBLIC LIBRARY,Rural,"2,560",160,6,0,160,0
AL0031,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,Suburban,"2,377","3,131",17,0,"3,131",663
AL0032,NEWTON PUBLIC LIBRARY,Rural,"2,079","16,262",14,243,"16,019","6,917"
AL0033,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,Rural,"4,933",769,19,0,769,86
AL0034,TROY PUBLIC LIBRARY,Town,"26,983","140,461",43,"10,041","130,420",305
AL0035,UNION SPRINGS PUBLIC LIBRARY,Town,"9,976","2,042",14,0,"2,042",0
AL0037,ANDALUSIA PUBLIC LIBRARY,Town,"17,867","38,601",21,"3,436","35,165",78
AL0038,BRANTLEY PUBLIC LIBRARY,Rural,"3,412","16,205",32,0,"16,205",0
AL0039,ELBA PUBLIC LIBRARY,Rural,"10,013","13,639",21,"1,422","12,217",170
AL0040,GENEVA - EMMA KNOX KENAN LIBRARY,Town,"8,206","5,281",31,0,"5,281",0
AL0041,ENTERPRISE PUBLIC LIBRARY,Town,"43,217","111,385",32,"56,496","54,889",568
AL0042,FLORALA PUBLIC LIBRARY,Rural,"6,298","8,072",25,"1,898","6,174",86
AL0043,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,Rural,"6,535","16,422",30,"1,320","15,102",147
AL0044,LUVERNE PUBLIC LIBRARY,Rural,"10,269","20,625",41,"3,109","17,516","2,100"
AL0045,OPP PUBLIC LIBRARY,Rural,"12,765","12,600",25,299,"12,301",0
AL0046,SAMSON PUBLIC LIBRARY,Rural,"5,797","3,749",12,0,"3,749",67
AL0047,SLOCOMB PUBLIC LIBRARY,Rural,"5,873","3,100",39,0,"3,100",0
AL0048,HORSESHOE BEND REGIONAL LIBRARY,Rural,"151,407","33,070",39,0,"33,070",243
AL0049,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,Town,"14,142","28,672",27,"9,153","19,519",108
AL0050,DADEVILLE PUBLIC LIBRARY,Rural,"3,007","21,820",9,"5,549","16,271",0
AL0051,GOODWATER PUBLIC LIBRARY,Rural,"1,288","2,757",13,0,"2,757",0
AL0052,AUBURN PUBLIC LIBRARY,City,"68,343","544,970",53,"98,032","446,938",135
AL0053,OPELIKA PUBLIC LIBRARY,City,"31,135","279,361",47,"47,521","231,840",1
AL0054,MILLBROOK PUBLIC LIBRARY,Suburban,"16,117","29,161",33,"8,287","20,874",527
AL0055,ROCKFORD PUBLIC LIBRARY,Rural,440,696,16,0,696,100
AL0056,TALLASSEE COMMUNITY PUBLIC LIBRARY,Rural,"4,454","16,895",46,"2,904","13,991",0
AL0057,WETUMPKA PUBLIC LIBRARY,Town,"8,431","59,250",23,"21,244","38,006",0
AL0059,FLORENCE - LAUDERDALE PUBLIC LIBRARY,City,"90,402","204,429",43,"31,663","172,766",389
AL0060,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,Suburban,"12,758","20,817",30,"1,888","18,929",245
AL0061,LEIGHTON PUBLIC LIBRARY,Rural,"5,050","37,188",18,0,"37,188","1,819"
AL0062,MUSCLE SHOALS PUBLIC LIBRARY,City,"19,173","173,955",29,"58,458","115,497","29,074"
AL0063,ROGERSVILLE PUBLIC LIBRARY,Rural,"1,293","34,597",43,"2,965","31,632",668
AL0064,SHEFFIELD PUBLIC LIBRARY,Suburban,"13,135","21,369",8,"5,824","15,545",214
AL0065,NORTHWEST REGIONAL LIBRARY,Rural,"34,266","8,611",0,"7,709",902,0
