FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Local Revenue ($),State Revenue ($),Federal Revenue ($),Other Revenue ($),Total Revenue ($)
NJ0160,HIGH BRIDGE PUBLIC LIBRARY,Suburban,,"3,546","33,233",0,0,736,"33,969"
NJ0161,HOLLAND TOWNSHIP FREE PUBLIC LIBRARY,Rural,,"5,177","34,523",315,0,"19,806","54,644"
NJ0162,LAMBERTVILLE FREE PUBLIC LIBRARY,Suburban,,"4,139","288,096","2,131","13,000","14,000","317,227"
NJ0163,MILFORD PUBLIC LIBRARY,Town,,"1,232","76,025","1,434",0,"14,591","92,050"
NJ0164,TEWKSBURY TOWNSHIP PUBLIC LIBRARY,Rural,,"5,870","64,700",0,0,"19,730","84,430"
NJ0165,MERCER COUNTY LIBRARY,Suburban,,"168,771","15,115,234","104,286",0,"460,023","15,679,543"
NJ0166,HAMILTON TOWNSHIP FREE PUBLIC LIBRARY,Suburban,,"92,297","3,176,922","47,526",0,"17,768","3,242,216"
NJ0167,HOPEWELL PUBLIC LIBRARY,Suburban,,"1,918","119,395",988,0,"19,253","139,636"
NJ0168,PENNINGTON FREE PUBLIC LIBRARY,Suburban,,"2,802","184,599","1,154",0,"18,252","204,005"
NJ0169,PRINCETON PUBLIC LIBRARY,City,,"30,681","4,412,555","18,816",0,"1,219,632","5,651,003"
NJ0170,TRENTON FREE PUBLIC LIBRARY,City,,"90,871","2,000,000","55,000","33,521","212,891","2,301,412"
NJ0171,CARTERET FREE PUBLIC LIBRARY,Suburban,,"25,326","1,032,163","13,041",0,"26,564","1,071,768"
NJ0172,CRANBURY PUBLIC LIBRARY,Suburban,,"3,842","663,769","1,978",0,"2,388","668,135"
NJ0173,DUNELLEN FREE PUBLIC LIBRARY,Suburban,,"7,637","312,277","3,933",0,"23,539","339,749"
NJ0174,EAST BRUNSWICK PUBLIC LIBRARY,Suburban,,"49,715","3,500,000","25,600","144,321","355,645","4,025,566"
NJ0175,EDISON TOWNSHIP FREE PUBLIC LIBRARY,Suburban,,"107,588","6,352,573","55,400",0,"69,225","6,477,198"
NJ0176,HIGHLAND PARK PUBLIC LIBRARY,Suburban,,"15,072","1,081,479","16,721",0,"45,035","1,143,235"
NJ0177,JAMESBURG PUBLIC LIBRARY,Suburban,,"5,783","160,585","21,653","64,375","2,725","249,338"
NJ0178,METUCHEN PUBLIC LIBRARY,Suburban,,"15,049","939,671","7,749",0,"26,074","973,494"
NJ0179,MIDDLESEX PUBLIC LIBRARY,Suburban,,"14,636","634,458","7,536",0,"6,942","648,936"
NJ0180,MILLTOWN PUBLIC LIBRARY,Suburban,,"7,037","341,754","3,624",0,"3,190","348,568"
NJ0181,MONROE TWP PUBLIC LIBRARY/MIDDLESEX,Suburban,,"48,594","4,089,930","25,022",0,"15,557","4,130,509"
NJ0182,NEW BRUNSWICK FREE PUBLIC LIBRARY,City,,"55,266","2,085,037","28,458",0,"36,923","2,150,418"
NJ0183,NORTH BRUNSWICK FREE PUBLIC LIBRARY,Suburban,,"43,905","1,804,533","22,608",0,"11,309","1,838,450"
NJ0184,OLD BRIDGE PUBLIC LIBRARY,Suburban,,"66,876","3,004,404","34,436",0,"376,746","3,415,586"
NJ0185,PERTH AMBOY FREE PUBLIC LIBRARY,Suburban,,"55,436","1,249,011",0,0,738,"1,249,749"
NJ0186,PISCATAWAY PUBLIC LIBRARY,Suburban,,"60,804","4,806,383","29,142","24,988","37,618","4,898,131"
NJ0187,PLAINSBORO FREE PUBLIC LIBRARY,Suburban,,"24,084","1,950,716","12,402",0,"41,837","2,004,955"
NJ0188,SAYREVILLE FREE PUBLIC LIBRARY,Suburban,,"45,345","1,905,533","23,435",0,"3,750","1,932,718"
NJ0189,DOWDELL LIBRARY OF SOUTH AMBOY,Suburban,,"9,411","357,423","4,846",0,"5,600","367,869"
NJ0190,SOUTH BRUNSWICK PUBLIC LIBRARY,Suburban,,"47,043","3,337,465","79,720",0,"46,206","3,463,391"
NJ0191,SOUTH PLAINFIELD FREE PUBLIC LIBRARY,Suburban,,"24,338","1,630,234","12,532",0,"14,157","1,656,923"
NJ0192,SOUTH RIVER PUBLIC LIBRARY,Suburban,,"16,118","720,402","8,600",0,"4,844","733,846"
NJ0193,SPOTSWOOD PUBLIC LIBRARY,Suburban,,"8,163","305,920","4,203",0,"2,904","313,027"
NJ0194,WOODBRIDGE PUBLIC LIBRARY,Suburban,,"103,639","6,313,758","65,581",0,"121,005","6,500,344"
NJ0195,MONMOUTH COUNTY LIBRARY,Suburban,,"425,110","15,957,970","87,066",0,"431,808","16,476,844"
NJ0196,MATAWAN-ABERDEEN PUBLIC LIBRARY,Suburban,,"28,894","1,301,295","14,934",0,"5,542","1,321,771"
NJ0197,ASBURY PARK FREE PUBLIC LIBRARY,Suburban,,"15,188","978,362","7,916",0,"7,397","993,675"
NJ0199,AVON FREE PUBLIC LIBRARY,Suburban,,"1,933","435,179",796,"350,000",700,"786,675"
NJ0200,BELMAR PUBLIC LIBRARY,Suburban,,"5,907","684,667","3,042",0,"2,623","690,332"
NJ0201,BRADLEY BEACH PUBLIC LIBRARY,Suburban,,"4,282","449,496","1,764","12,846","21,400","485,506"
NJ0202,BRIELLE PUBLIC LIBRARY,Suburban,,"4,982",0,"3,155",0,"25,609","28,764"
NJ0203,EATONTOWN PUBLIC LIBRARY,Suburban,,"13,597","768,375","6,755",0,"31,275","806,405"
NJ0204,FAIR HAVEN PUBLIC LIBRARY,Suburban,,"6,269","364,369","4,162",0,"28,791","397,322"
NJ0205,FREEHOLD PUBLIC LIBRARY,Suburban,,"12,538","408,815","5,165",0,"56,414","470,394"
