FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Local Revenue ($),State Revenue ($),Federal Revenue ($),Other Revenue ($),Total Revenue ($)
AL0031,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,Suburban,,"2,377","40,653","3,257",0,"8,173","52,083"
AL0032,NEWTON PUBLIC LIBRARY,Rural,,"2,079","44,064",588,0,"1,130","45,782"
AL0033,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,Rural,,"4,933","13,688","5,576",0,"7,500","26,764"
AL0034,TROY PUBLIC LIBRARY,Town,,"26,983","669,250","30,533",0,"5,645","705,428"
AL0035,UNION SPRINGS PUBLIC LIBRARY,Town,,"9,976","40,000","12,040",0,"3,688","55,728"
AL0037,ANDALUSIA PUBLIC LIBRARY,Town,,"17,867","356,587","20,152","1,530",0,"378,269"
AL0038,BRANTLEY PUBLIC LIBRARY,Rural,,"3,412","28,500","3,873",0,0,"32,373"
AL0039,ELBA PUBLIC LIBRARY,Rural,,"10,013","104,026","11,245","9,573","23,733","148,577"
AL0040,GENEVA - EMMA KNOX KENAN LIBRARY,Town,,"8,206","106,854","9,246",0,"2,868","118,968"
AL0041,ENTERPRISE PUBLIC LIBRARY,Town,,"43,217","141,000","48,536","9,359","53,645","252,540"
AL0042,FLORALA PUBLIC LIBRARY,Rural,,"6,298","59,024","7,129","16,980",300,"83,433"
AL0043,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,Rural,,"6,535","122,545","7,339","11,439","4,677","146,000"
AL0044,LUVERNE PUBLIC LIBRARY,Rural,,"10,269","159,276","12,572",0,"7,359","179,207"
AL0045,OPP PUBLIC LIBRARY,Rural,,"12,765","136,042","14,483","12,900",0,"163,425"
AL0046,SAMSON PUBLIC LIBRARY,Rural,,"5,797","23,108","6,810","1,000",0,"30,918"
AL0047,SLOCOMB PUBLIC LIBRARY,Rural,,"5,873","23,500","5,046",0,0,"28,546"
AL0048,HORSESHOE BEND REGIONAL LIBRARY,Rural,,"151,407","49,039","266,054","18,530","14,367","347,990"
AL0049,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,Town,,"14,142","400,288","7,920","31,125","33,682","473,015"
AL0050,DADEVILLE PUBLIC LIBRARY,Rural,,"3,007","112,234","2,686","14,993","2,208","132,121"
AL0051,GOODWATER PUBLIC LIBRARY,Rural,,"1,288","43,307","2,686","18,360","3,076","67,429"
AL0052,AUBURN PUBLIC LIBRARY,City,,"68,343","2,717,021","38,272",0,"10,000","2,765,293"
AL0053,OPELIKA PUBLIC LIBRARY,City,,"31,135","1,629,075","17,436",0,0,"1,646,511"
AL0054,MILLBROOK PUBLIC LIBRARY,Suburban,,"16,117","257,885","9,025","30,600","16,926","314,436"
AL0055,ROCKFORD PUBLIC LIBRARY,Rural,,440,"10,000","2,686","4,225",0,"16,911"
AL0056,TALLASSEE COMMUNITY PUBLIC LIBRARY,Rural,,"4,454","96,030","2,494",0,"15,080","113,604"
AL0057,WETUMPKA PUBLIC LIBRARY,Town,,"8,431","372,941","4,721",0,"106,090","483,752"
AL0059,FLORENCE - LAUDERDALE PUBLIC LIBRARY,City,,"90,402","927,683","74,902","73,485","190,855","1,266,925"
AL0060,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,Suburban,,"12,758","155,365","14,394","16,530","3,912","190,201"
AL0061,LEIGHTON PUBLIC LIBRARY,Rural,,"5,050","9,800","5,709",0,"3,600","19,109"
AL0062,MUSCLE SHOALS PUBLIC LIBRARY,City,,"19,173","715,457","21,533",0,"11,487","748,477"
AL0063,ROGERSVILLE PUBLIC LIBRARY,Rural,,"1,293","111,237","11,983","14,993","9,747","147,960"
AL0064,SHEFFIELD PUBLIC LIBRARY,Suburban,,"13,135","273,686","14,890",0,0,"288,576"
AL0065,NORTHWEST REGIONAL LIBRARY,Rural,,"34,266","37,506","62,980","56,500","86,753","243,739"
AL0066,HAMILTON - CLYDE NIX PUBLIC LIBRARY,Town,,"6,645","108,604",0,"10,000",0,"118,604"
AL0067,KENNEDY PUBLIC LIBRARY,Rural,,421,"37,874",0,500,0,"38,374"
AL0068,GUIN - MCHS COMMUNITY LIBRARY,Rural,,"2,250","43,076",0,"10,000",0,"53,076"
AL0069,MILLPORT PUBLIC LIBRARY,Rural,,970,"33,990",0,"10,000",0,"43,990"
AL0070,RUSSELLVILLE PUBLIC LIBRARY,Town,,"19,078","109,309","21,426",0,"3,970","134,705"
AL0071,SULLIGENT PUBLIC LIBRARY,Rural,,"1,834","93,739",0,"10,000",0,"103,739"
AL0072,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,Rural,,"1,843","78,178",0,"1,500",0,"79,678"
AL0073,RED BAY - WEATHERFORD PUBLIC LIBRARY,Rural,,"3,108","50,980",0,"2,500",0,"53,480"
AL0074,WINFIELD PUBLIC LIBRARY,Rural,,"4,559","183,996",0,"10,000",0,"193,996"
AL0076,ATHENS - LIMESTONE PUBLIC LIBRARY,Town,,"102,228","262,000","114,810","71,944","245,157","693,911"
AL0077,DECATUR PUBLIC LIBRARY,City,,"87,765","536,823","98,951","40,895","264,593","941,262"
AL0078,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,Suburban,,"22,927","181,296","25,827","18,870",0,"225,993"
AL0079,LAWRENCE COUNTY PUBLIC LIBRARY,Rural,,"30,608","72,061","34,582","33,834","17,097","157,574"
AL0080,BALDWIN COUNTY LIBRARY COOPERATIVE,Town,,"102,040","115,000","114,598","68,600","11,823","310,021"
AL0081,DAPHNE PUBLIC LIBRARY,City,,"27,719","1,105,517","31,131","53,250","18,818","1,208,716"
AL0082,FAIRHOPE PUBLIC LIBRARY,City,,"23,584","859,000","26,487","15,000","29,923","930,410"
AL0083,FOLEY PUBLIC LIBRARY,Town,,"21,446","986,737","24,085","48,069","67,447","1,126,338"
AL0084,BAY MINETTE PUBLIC LIBRARY,Town,,"9,509","455,148","10,679","13,870","11,533","491,230"
AL0085,LOXLEY PUBLIC LIBRARY,Suburban,,"3,329","59,276","3,739","11,320","5,322","79,657"
AL0086,OSCAR JOHNSON MEMORIAL LIBRARY,Town,,"1,285","4,200",820,0,130,"5,150"
AL0087,ROBERTSDALE PUBLIC LIBRARY,Town,,"7,030","399,770","7,895",0,0,"407,665"
AL0088,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,Town,,"13,166","709,986","14,786","24,480","2,297","751,549"
AL0090,ADAMSVILLE PUBLIC LIBRARY,Suburban,,"4,211","69,895","3,507",0,"4,075","77,477"
AL0091,BESSEMER PUBLIC LIBRARY,Suburban,,"26,043","778,604","20,889","12,810","340,083","1,152,386"
AL0092,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,Suburban,,"20,034","3,620,727","16,016",0,"65,000","3,701,743"
AL0093,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,Suburban,,"10,457","61,200","8,339",0,"1,188","70,727"
AL0094,FULTONDALE PUBLIC LIBRARY,Suburban,,"9,269","457,681","7,326","10,000",0,"475,007"
AL0095,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,Suburban,,"14,113","694,747","11,187","4,000","19,072","729,006"
AL0096,GRAYSVILLE PUBLIC LIBRARY,Suburban,,"2,066","66,000","1,651","2,112","10,000","79,763"
AL0097,HOMEWOOD PUBLIC LIBRARY,Suburban,,"25,174","3,023,899","20,025","7,000","6,541","3,057,465"
AL0098,HOOVER PUBLIC LIBRARY,City,,"85,959","7,623,544","67,679","15,000","110,702","7,816,925"
AL0099,HUEYTOWN PUBLIC LIBRARY,Suburban,,"15,202","130,000","12,091","20,000","11,724","173,815"
AL0100,IRONDALE PUBLIC LIBRARY,Suburban,,"13,226","596,740","10,398",0,"17,650","624,788"
AL0101,LEEDS - JANE CULBRETH LIBRARY,Suburban,,"12,026","320,280","9,501",0,"7,578","337,359"
AL0102,MIDFIELD PUBLIC LIBRARY,Suburban,,"4,955",0,"3,911","1,500","13,830","19,241"
AL0103,PLEASANT GROVE PUBLIC LIBRARY,Suburban,,"9,578","149,694","7,578","3,000","7,078","167,350"
AL0104,TARRANT PUBLIC LIBRARY,Suburban,,"6,081","152,442","4,820",0,0,"157,262"
AL0105,TRUSSVILLE PUBLIC LIBRARY,Suburban,,"23,048","1,537,523","18,119","15,000","38,986","1,609,628"
AL0106,VESTAVIA HILLS LIBRARY IN THE FOREST,Suburban,,"34,317","2,500,304","27,155","18,033","63,524","2,609,016"
AL0107,WARRIOR PUBLIC LIBRARY,Rural,,"3,190","128,925","2,533","9,811","7,419","148,688"
AL0108,BIRMINGHAM PUBLIC LIBRARY,City,,"206,950","13,258,036","194,745","15,000","593,490","14,061,271"
AL0109,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,Town,,"58,724","220,000","65,997","15,300","14,250","315,547"
AL0110,COLLINSVILLE PUBLIC LIBRARY,Rural,,"1,938","75,730","2,265","9,541","9,708","97,244"
AL0111,GERALDINE PUBLIC LIBRARY,Rural,,896,"34,500","1,012","16,356","5,776","57,644"
AL0112,RAINSVILLE PUBLIC LIBRARY,Rural,,"5,149","191,782","5,783","8,815","17,269","223,649"
AL0113,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,Town,,"20,814","25,000","23,542","33,682","6,500","88,724"
AL0114,ATMORE PUBLIC,Town,,"8,949","267,200","10,291","32,062","31,285","340,838"
AL0115,BREWTON PUBLIC LIBRARY,Town,,"5,141","540,000","5,887",0,"41,000","586,887"
AL0116,FLOMATON PUBLIC LIBRARY,Town,,"1,377","138,599","1,575","39,490","12,213","191,877"
AL0117,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,City,,"66,102","1,349,376","74,601","15,000",0,"1,438,977"
AL0118,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,Suburban,,"5,832","239,317","6,812","1,290","1,575","248,994"
AL0119,RAINBOW CITY PUBLIC LIBRARY,Suburban,,"9,603","438,550","13,476","1,290",512,"453,828"
AL0121,DEMOPOLIS PUBLIC LIBRARY,Town,,"11,710","321,292","6,621",0,"12,238","340,151"
AL0122,MARENGO COUNTY PUBLIC LIBRARY,Rural,,"7,023","80,465","13,243","23,171","3,438","120,317"
AL0123,MARSHALL COUNTY COOPERATIVE LIBRARY,Rural,,"47,523","11,368","53,929","1,379","1,220","67,896"
AL0124,ARAB PUBLIC LIBRARY,Town,,"8,406","307,217","9,473","26,226","14,663","357,579"
AL0125,BOAZ PUBLIC LIBRARY,Town,,"9,706","466,521","10,933","40,443",0,"517,897"
AL0126,GUNTERSVILLE PUBLIC LIBRARY,Town,,"8,676","378,771","9,777","17,719","26,890","433,157"
AL0127,ALBERTVILLE PUBLIC LIBRARY,Town,,"21,777","336,468","24,490","2,800",0,"363,758"
AL0128,HARRISON REGIONAL LIBRARY SYSTEM,Town,,"46,094","208,000","83,382",0,"46,312","337,694"
AL0129,ALABASTER - ALBERT L. SCOTT LIBRARY,Suburban,,"33,701","848,496","32,171",0,"6,065","886,732"
AL0130,CALERA PUBLIC LIBRARY,Rural,,"15,248","393,183","17,181","18,750",0,"429,114"
AL0131,COLUMBIANA PUBLIC LIBRARY,Town,,"4,682","255,005","4,470",0,"13,320","272,795"
AL0132,HELENA - JANE B. HOLMES PUBLIC LIBRARY,Suburban,,"20,374","350,976","17,127",0,"16,122","384,225"
AL0133,VINCENT - LALLOUISE F. MCGRAW LIBRARY,Rural,,"2,223","56,200","2,122",0,"10,000","68,322"
AL0134,MONTEVALLO - PARNELL MEMORIAL LIBRARY,Suburban,,"7,098","285,800","7,127","8,000","23,000","323,927"
AL0135,PELHAM PUBLIC LIBRARY,Suburban,,"24,231","1,076,850","22,973","5,000","20,892","1,125,715"
AL0136,WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,Rural,,"2,069","32,000","1,975","11,530","1,109","46,614"
AL0137,NORTH SHELBY LIBRARY,Suburban,,"51,100","1,283,320","49,319","15,000","42,450","1,390,089"
AL0140,ALICEVILLE PUBLIC LIBRARY,Rural,,"2,231","59,000","2,541","45,000","4,000","110,541"
AL0141,CARROLLTON PUBLIC LIBRARY,Rural,,935,"23,400","1,063",0,"2,000","26,463"
AL0142,GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,Rural,,"1,594","42,030","1,819","9,174","2,830","55,853"
AL0143,REFORM PUBLIC LIBRARY,Rural,,"1,546","31,982","1,749","12,900",950,"47,581"
AL0145,MCCAIN MEMORIAL PUBLIC LIBRARY,Rural,,"9,153","79,384","10,279","10,000","16,757","116,420"
AL0146,MOODY - DORIS STANLEY MEMORIAL LIBRARY,Suburban,,"20,049","210,183","22,517",0,"3,550","236,250"
AL0147,ODENVILLE PUBLIC LIBRARY,Rural,,"10,642","79,323","11,952","1,000","3,700","95,975"
AL0148,PELL CITY PUBLIC LIBRARY,Town,,"23,428","473,192","26,311","18,360",547,"518,410"
AL0151,YORK - HIGHTOWER MEMORIAL LIBRARY,Rural,,"5,654","43,708","5,422",0,586,"49,716"
AL0152,LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,Rural,,"6,571","138,790","8,587",0,"10,791","158,168"
AL0154,ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,City,,"72,914","657,065","82,734","149,682","138,183","1,027,664"
AL0155,JACKSONVILLE PUBLIC LIBRARY,Suburban,,"12,972","590,786","14,569","1,290","32,373","639,018"
AL0156,PIEDMONT PUBLIC LIBRARY,Town,,"4,470","122,240","5,112","7,000","1,611","135,963"
AL0157,AKRON PUBLIC LIBRARY,Rural,,"1,739","10,000","1,963","20,000",0,"31,963"
AL0158,DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,City,,"106,580","1,222,746","119,697","132,175","252,085","1,726,703"
AL0159,BLOUNTSVILLE PUBLIC LIBRARY,Rural,,"14,062","105,406","15,855","19,770","13,445","154,476"
AL0160,CHEROKEE PUBLIC LIBRARY,Rural,,"5,295","15,000","12,716","4,000",0,"31,716"
AL0161,BRENT - CENTREVILLE PUBLIC LIBRARY,Town,,"18,280","22,000","20,861",0,"22,220","65,081"
AL0162,CHILTON - CLANTON PUBLIC LIBRARY,Town,,"44,397","188,200","50,083","3,225","22,700","264,208"
AL0163,CHOCTAW COUNTY PUBLIC LIBRARY,Rural,,"12,418","156,477","14,191",0,"2,734","173,402"
AL0164,CITRONELLE MEMORIAL LIBRARY,Rural,,"3,873","88,626","5,882",0,536,"95,044"
AL0165,GROVE HILL PUBLIC LIBRARY,Rural,,"6,121","67,555","6,997",0,"6,409","80,961"
AL0166,HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,City,,"379,453","6,445,334","426,155","225,430","769,805","7,866,724"
AL0167,EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY,Rural,,"7,990","97,069","9,143",0,"1,809","108,021"
AL0168,GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,Town,,"19,504","231,829","21,923",0,"20,528","274,280"
AL0169,HALE COUNTY LIBRARY,Rural,,"6,310","9,928","7,124","5,899","17,928","40,879"
AL0170,CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,Suburban,,"5,659","85,920","7,718",0,"5,236","98,874"
AL0171,JACKSON - WHITE SMITH MEMORIAL LIBRARY,Town,,"8,993","301,280","10,270","4,000","72,007","387,557"
AL0172,MARION - PERRY COUNTY PUBLIC LIBRARY,Rural,,"5,142","21,257","5,937","3,250","24,031","54,475"
AL0173,WOODVILLE PUBLIC LIBRARY,Rural,,719,"30,380","4,411","6,433","11,000","52,224"
AL0174,CITY OF BAYOU LA BATRE PUBLIC LIBRARY,Rural,,"2,457","45,560","2,795",0,0,"48,355"
AL0175,SCOTTSBORO PUBLIC LIBRARY,Town,,"36,784","144,000","42,263","15,000","10,809","212,072"
AL0176,ONEONTA PUBLIC LIBRARY,Town,,"43,817","400,189","49,331","6,815","14,636","470,971"
AL0177,THOMASVILLE PUBLIC LIBRARY,Rural,,"8,177","254,398","9,361",0,"25,910","289,669"
AL0178,MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,Town,,"17,895","139,996","30,367",0,522,"170,885"
AL0179,MOUNDVILLE PUBLIC LIBRARY,Town,,"5,789","64,825","6,501","5,000",0,"76,326"
AL0180,UNIONTOWN PUBLIC LIBRARY,Rural,,"3,545","14,468","4,121",0,"5,000","23,589"
AL0181,PRICHARD PUBLIC LIBRARY,Suburban,,"21,294","125,000","29,607",0,"3,296","157,903"
AL0182,WASHINGTON COUNTY PUBLIC LIBRARY,Rural,,"15,976","91,211","18,404","15,000","252,573","377,188"
AL0184,EVERGREEN PUBLIC LIBRARY,Town,,"11,851","274,193","13,603",0,"43,680","331,476"
AL0186,MOBILE PUBLIC LIBRARY,City,,"371,723","8,908,284","419,410","258,680","506,401","10,092,775"
AL0187,MONTGOMERY CITY-COUNTY PUBLIC LIBRARY,City,,"224,639","5,391,050","255,313","101,068","42,679","5,790,110"
AL0188,WHITE HALL PUBLIC LIBRARY,Rural,,"2,053","10,744","2,354",0,0,"13,098"
AL0189,STEVENSON PUBLIC LIBRARY,Rural,,"5,097","14,547","5,796",0,0,"20,343"
AL0190,KILLEN PUBLIC LIBRARY,Suburban,,962,"51,973","15,088","17,820","8,200","93,081"
AL0191,LEXINGTON - BURCHELL CAMPBELL MEMORIAL LIBRARY,Rural,,711,"12,182","5,972",0,0,"18,154"
AL0192,AUTAUGA - PRATTVILLE PUBLIC LIBRARY,Rural,,"56,145","525,500","63,055","15,000","59,836","663,391"
AL0193,FAYETTE COUNTY MEMORIAL LIBRARY,Town,,"16,241",0,"18,377",0,"170,241","188,618"
AL0194,PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY,Suburban,,"58,237","413,304","65,405",0,"19,163","497,872"
AL0195,SELMA - DALLAS COUNTY PUBLIC LIBRARY,Town,,"36,098","338,032","42,827","30,515","350,235","761,609"
AL0196,TUSCALOOSA PUBLIC LIBRARY,City,,"210,758","3,237,603","238,397","36,541","275,867","3,788,408"
AL0197,WILCOX COUNTY LIBRARY,Rural,,"10,206","145,300","11,693","14,993",395,"172,381"
AL0198,MONROE COUNTY PUBLIC LIBRARY,Town,,"20,459","82,350","23,372",0,"47,277","152,999"
AL0199,CULLMAN COUNTY PUBLIC LIBRARY,Town,,"84,515","457,495","94,917","38,973","24,119","615,504"
AL0200,VALLEY - H. GRADY BRADSHAW / CHAMBERS COUNTY LIBRARY,Town,,"32,865","92,614","37,486","38,720","910,775","1,079,595"
AL0203,HOKES BLUFF PUBLIC LIBRARY,Suburban,,"4,240","77,000",0,"10,000",0,"87,000"
AL0204,RAGLAND PUBLIC LIBRARY,Rural,,"8,475","47,745","9,518","12,726",0,"69,989"
AL0206,HAYNEVILLE - LOWNDES COUNTY PUBLIC LIBRARY,Rural,,"5,126","14,200","6,121","29,070",0,"49,391"
AL0208,IDER PUBLIC LIBRARY,Rural,,737,"7,459",828,0,"1,242","9,529"
AL0209,EUFAULA CARNEGIE LIBRARY,Town,,"13,724","428,296","15,564","10,000","10,693","464,553"
AL0210,GRANT PUBLIC LIBRARY,Rural,,902,"38,781","1,046","13,968","1,596","55,391"
AL0211,DALEVILLE PUBLIC LIBRARY,Town,,"7,627","142,914","9,256","11,363","21,235","184,768"
AL0216,COURTLAND PUBLIC LIBRARY,Rural,,"1,203","20,368","1,362","1,500","1,582","24,812"
AL0217,EVA PUBLIC LIBRARY,Rural,,943,"12,500","1,063","1,063","3,300","17,926"
AL0218,CROSSVILLE PUBLIC LIBRARY,Rural,,"1,847","75,515","2,111","1,290","1,500","80,416"
AL0219,WALNUT GROVE - WESTSIDE PUBLIC LIBRARY,Rural,,692,"23,650",0,0,900,"24,550"
AL0222,ORANGE BEACH PUBLIC LIBRARY,Suburban,,"6,343","655,299","7,124","7,000","13,435","682,858"
AL0223,SATSUMA PUBLIC LIBRARY,Suburban,,"6,206","155,110","6,978","12,160","9,000","183,248"
AL0225,FALKVILLE PUBLIC LIBRARY,Rural,,"1,701","8,000","1,918","9,590","8,600","28,108"
AL0226,SPRINGVILLE PUBLIC LIBRARY,Town,,"11,142","264,989","12,513","21,448",0,"298,950"
AL0227,BRIDGEPORT - LENA CAGLE PUBLIC LIBRARY,Town,,"5,473","28,055","6,187","6,187",550,"40,979"
AL0229,WEST BLOCTON PUBLIC LIBRARY,Rural,,"1,228","25,830","1,411",0,0,"27,241"
AL0231,CARBON HILL CITY LIBRARY,Rural,,"1,885","5,962",0,"11,650","25,443","43,055"
AL0238,OHATCHEE PUBLIC LIBRARY,Rural,,"1,148","44,904","1,300","8,043","1,007","55,254"
AL0239,SOMERVILLE PUBLIC LIBRARY,Rural,,"1,227","32,123","1,378","8,178","7,588","49,267"
AL0240,CHELSEA PUBLIC LIBRARY,Suburban,,"14,608","504,257","13,913",570,"15,760","534,500"
AL0241,DUTTON PUBLIC LIBRARY,Rural,,"3,509","23,773","3,950",0,"8,202","35,925"
AL0242,FORT DEPOSIT PUBLIC LIBRARY,Rural,,"2,462","4,809","2,809","1,000",0,"8,618"
AL0243,SUMMERDALE - MARJORIE YOUNCE SNOOK PUBLIC LIBRARY,Rural,,"1,792","152,340","2,013","12,267","3,199","169,819"
AL0244,CLAY PUBLIC LIBRARY,Rural,,"10,042","163,466","7,895","4,051","12,371","187,783"
AL0245,ECLECTIC PUBLIC LIBRARY,Rural,,"1,008","20,464","2,686","1,530","8,917","33,597"
AL0246,HOBSON CITY PUBLIC LIBRARY,Suburban,,749,"23,000",851,"3,000","10,000","36,851"
AL0247,MUNFORD PUBLIC LIBRARY,Rural,,"1,345","68,251","1,520","9,452","11,447","90,670"
AL0248,SOUTHSIDE PUBLIC LIBRARY,Suburban,,"9,046","50,020","10,159","10,000","1,487","71,666"
AL0249,STEELE PUBLIC LIBRARY,Rural,,"7,850","41,362","8,816",0,0,"50,178"
AL0250,PINSON PUBLIC LIBRARY,Suburban,,"7,060","443,274","5,607","7,000",0,"455,881"
AL0251,GLENCOE PUBLIC LIBRARY,Suburban,,"5,080","43,666","8,357",0,167,"52,190"
AL0252,MAGNOLIA SPRINGS PUBLIC LIBRARY,Rural,,831,"35,000",933,0,"16,000","51,933"
AL0253,TOWN CREEK PUBLIC LIBRARY,Rural,,"1,046","39,500","1,175","21,290",0,"61,965"
AL0254,JEFFERSON COUNTY LIBRARY COOPERATIVE,City,,"96,526","100,000","273,530","143,499","837,308","1,354,337"
AL0256,PICKENS COUNTY COOPERATIVE LIBRARY,Rural,,"13,487","36,960","15,294","11,048","9,425","72,727"
AL0257,R.L. HADDEN MEMORIAL LIBRARY,Rural,,"2,367","69,572","2,664","1,367","4,647","78,250"
AL8004,MT. VERNON PUBLIC LIBRARY,Rural,,"1,504","43,178","1,600",0,0,"44,778"
AL8007,LINDA DURAN PUBLIC LIBRARY,Rural,,"5,320","50,000","5,781",0,0,"55,781"
AL8008,SARDIS CITY PUBLIC LIBRARY,Rural,,"1,776","52,103","4,642","13,420","1,065","71,230"
AL8009,WOODSTOCK COMMUNITY LIBRARY,Rural,,"2,628","36,000","3,010",0,0,"39,010"
AL8010,NEWBERN PUBLIC LIBRARY,Rural,,832,965,939,"14,226","30,572","46,702"
AL8011,SPANISH FORT PUBLIC LIBRARY,Suburban,,"9,460","265,302","10,624","18,029","4,033","297,988"
AL8012,ELBERTA PUBLIC LIBRARY,Rural,,"1,753","22,000","1,969",0,0,"23,969"
AL8013,CENTER POINT PUBLIC LIBRARY,Suburban,,"15,815","363,245","13,178","15,000",0,"391,423"
AR0001,CENTRAL ARKANSAS LIBRARY SYSTEM,City,,"336,463","21,696,511","684,674","222,121","4,599,434","27,202,740"
AR0002,WASHINGTON COUNTY LIBRARY SYSTEM,City,,"151,597","3,881,147","344,785","1,833","42,219","4,269,984"
AR0003,MARION COUNTY LIBRARY,Rural,,"16,694","220,000","41,472",0,"8,434","269,906"
AR0004,SOUTHWEST ARKANSAS REGIONAL LIBRARY,Town,,"18,970","102,096","44,364",0,0,"146,460"
AR0005,MID ARKANSAS REGIONAL LIBRARY SYSTEM,Town,,"189,438","4,536,154","983,662",0,"15,781","5,535,597"
AR0006,GARLAND COUNTY LIBRARY,City,,"99,386","3,001,366","157,735",0,"655,263","3,814,364"
AR0007,WHITE RIVER REGIONAL LIBRARY,Rural,,"80,973","1,359,561","210,007","37,048","84,649","1,691,265"
AR0008,PINE BLUFF/JEFFERSON COUNTY LIBRARY SYSTEM,City,,"66,824","1,541,465","122,601",0,"56,562","1,720,628"
AR0009,CROWLEY RIDGE REGIONAL LIBRARY,City,,"133,860","4,428,077","230,205",0,"170,944","4,829,226"
AR0010,COLUMBIA COUNTY LIBRARY,Town,,"23,457","403,250","65,144",0,"31,452","499,846"
AR0011,FORT SMITH PUBLIC LIBRARY,City,,"87,891","2,992,206","147,374",0,"253,835","3,393,415"
AR0012,ARKANSAS RIVER VALLEY REGIONAL LIBRARY,Town,,"87,100","2,132,757","204,156",0,"18,649","2,355,562"
AR0013,NORTHEAST ARKANSAS REGIONAL LIBRARY,Town,,"75,834","1,733,446","175,596",0,"82,626","1,991,668"
AR0014,SOUTHEAST ARKANSAS REGIONAL LIBRARY,Town,,"63,485","858,225","167,259",0,"17,700","1,043,184"
AR0015,PHILLIPS LEE MONROE REGIONAL LIBRARY SYSTEM,Town,,"33,340","648,952","229,604",0,"245,071","1,123,627"
AR0016,NORTH LITTLE ROCK PUBLIC LIBRARY SYSTEM,City,,"65,903","3,761,800","345,895",0,"444,594","4,552,289"
AR0017,FAULKNER-VAN BUREN REGIONAL LIBRARY SYSTEM,City,,"142,552","2,683,032","265,497",0,"97,323","3,045,852"
AR0019,WHITE COUNTY REGIONAL LIBRARY SYSTEM,Town,,"78,753","1,587,416","140,670",0,"23,440","1,751,526"
AR0020,BARTON LIBRARY,Town,,"38,682","398,887","106,974",0,"64,026","569,887"
AR0021,POPE COUNTY LIBRARY SYSTEM,Town,,"64,072","1,320,878","118,772","48,317","128,615","1,616,582"
AR0023,SCOTT SEBASTIAN REGIONAL LIBRARY,Town,,"50,217","465,838","121,926","21,322","7,839","616,925"
AR0024,EAST CENTRAL ARKANSAS REGIONAL LIBRARY SYSTEM,Town,,"22,739","738,082","73,971",0,"43,822","855,875"
AR0025,WEST MEMPHIS PUBLIC LIBRARY,Suburban,,"24,402","734,035","26,266","21,925","8,337","790,563"
AR0026,ASHLEY COUNTY LIBRARY,Town,,"20,492","556,604","49,119",0,"20,192","625,915"
AR0027,W.A. BILLINGSLEY/JACKSON COUNTY LIBRARY,Town,,"16,719","269,509","41,507",0,"10,068","321,084"
AR0028,TEXARKANA PUBLIC LIBRARY,City,,"68,716","995,871","77,375","37,960","30,391","1,141,597"
AR0030,CONWAY COUNTY LIBRARY,Town,,"20,846","480,850","47,309",0,"21,275","549,434"
AR0031,LAWRENCE COUNTY LIBRARY,Town,,"16,406","467,654","41,812",0,"41,812","551,278"
AR0037,FORREST CITY PUBLIC LIBRARY,Town,,"13,820","188,000","37,431",0,"14,000","239,431"
AR0038,BENTONVILLE PUBLIC LIBRARY,City,,"54,909","2,762,991","15,300",0,"1,142,063","3,920,354"
AR0039,BAXTER COUNTY LIBRARY,Rural,,"41,932","786,348","84,689",0,"456,051","1,327,088"
AR0040,MISSISSIPPI/CRITTENDEN REGIONAL LIBRARY,Town,,"64,204","1,226,839","141,571",0,"100,932","1,469,342"
AR0041,LONOKE COUNTY LIBRARY SYSTEM,Town,,"73,309","1,568,575","159,249",0,"209,891","1,937,715"
AR0042,ARKANSAS COUNTY LIBRARY,Town,,"17,486","251,608","42,585",0,"5,595","299,788"
AR0043,TRUMANN PUBLIC LIBRARY,Town,,"6,969","64,208",0,0,0,"64,208"
