FSCS Key,Library Name,Locale,Service Area Population,Total Library Programs,Children's Programs,Young Adult Programs,Adult Programs,Total Program Attendance,Children's Program Attendance,Adult Program Attendance,General Interest Program Attendance,General Interest Programs
AK0094,TUZZY CONSORTIUM LIBRARY,Town,"11,031",45,26,1,17,"1,633",712,186,715,1
AK0099,MOOSE PASS PUBLIC LIBRARY,Rural,228,21,9,0,9,207,86,31,90,3
AK0100,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,Rural,89,0,0,0,0,0,0,0,0,0
AK0102,EGEGIK VILLAGE LIBRARY,Rural,39,-1,-2,-1,-1,-1,-2,-1,-1,-1
AK0103,TRAPPER CREEK PUBLIC LIBRARY,Rural,"2,964",66,57,0,8,557,455,72,30,1
AK0104,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,Rural,176,0,0,0,0,0,0,0,0,0
AK0113,OUZINKIE TRIBAL MEDIA CENTER,Rural,109,3,3,0,0,1,1,0,0,0
AK0115,UNALASKA PUBLIC LIBRARY,Rural,"4,254",59,50,0,8,902,770,72,60,1
AK0116,ANIAK PUBLIC LIBRARY,Rural,507,-1,-2,-1,-1,-1,-2,-1,-1,-1
AK0117,HYDER PUBLIC LIBRARY,Rural,48,0,0,0,0,0,0,0,0,0
AK0120,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,Rural,100,0,0,0,0,0,0,0,0,0
AK0121,BLACKWELL COMMUNITY/SCHOOL LIBRARY,Rural,70,-1,-2,-1,-1,-1,-2,-1,-1,-1
AK0122,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,Rural,210,-1,-2,-1,-1,-1,-2,-1,-1,-1
AK0124,LAKE MINCHUMINA COMMUNITY LIBRARY,Rural,30,0,0,0,0,0,0,0,0,0
AK0126,IGIUGIG TRIBAL LIBRARY,Rural,68,39,23,1,14,333,276,14,35,1
AK0127,COFFMAN COVE COMMUNITY LIBRARY,Rural,127,88,42,3,36,334,235,47,44,7
AK0130,THORNE BAY PUBLIC LIBRARY,Rural,476,0,0,0,0,0,0,0,0,0
