FSCS Key,Library Name,Locale,Service Area Population,Total Library Programs,Children's Programs,Young Adult Programs,Adult Programs,Total Program Attendance,Children's Program Attendance,Adult Program Attendance,General Interest Program Attendance,General Interest Programs
IL0388,NORTHBROOK PUBLIC LIBRARY,Suburban,"35,222",862,90,35,326,"21,053","1,224","9,326","10,114",411
IL0389,NORTHLAKE PUBLIC LIBRARY DISTRICT,Suburban,"26,667",399,236,36,124,"8,277","5,878","1,375",645,3
IL0390,OAK BROOK PUBLIC LIBRARY,Suburban,"8,163",113,8,0,105,"1,517",320,"1,197",0,0
IL0391,OAK LAWN PUBLIC LIBRARY,Suburban,"58,362",313,35,4,237,"5,722","1,780","1,834","1,924",37
IL0392,OAK PARK PUBLIC LIBRARY,Suburban,"54,583",816,285,86,329,"13,983","4,191","5,761","2,249",116
IL0393,OAKWOOD PUBLIC LIBRARY DISTRICT,Rural,"5,572",92,55,1,36,"1,809","1,170",623,0,0
IL0394,ODELL PUBLIC LIBRARY DISTRICT,Rural,"1,386",29,21,0,7,462,283,138,41,1
IL0395,O'FALLON PUBLIC LIBRARY,Suburban,"32,289",352,233,34,85,"8,032","7,087",710,0,0
IL0396,OGDEN ROSE PUBLIC LIBRARY,Rural,729,2,1,0,0,56,30,0,26,1
IL0397,OGLESBY PUBLIC LIBRARY DISTRICT,Town,"4,217",0,0,0,0,0,0,0,0,0
IL0398,OHIO PUBLIC LIBRARY DISTRICT,Rural,912,19,16,1,1,72,70,0,2,1
IL0400,OLNEY PUBLIC LIBRARY,Town,"8,701",76,36,24,10,"4,032","3,100",0,332,6
IL0401,ONARGA COMMUNITY PUBLIC LIBRARY DISTRICT,Town,"1,942",16,16,0,0,285,285,0,0,0
IL0402,GREIG MEMORIAL LIBRARY,Rural,696,9,9,0,0,123,123,0,0,0
IL0404,OREGON PUBLIC LIBRARY DISTRICT,Town,"6,108",218,63,10,139,"3,169",969,"1,646",485,6
IL0405,ORLAND PARK PUBLIC LIBRARY,Suburban,"58,703",447,141,51,246,"7,207","3,563","1,767","1,524",9
IL0406,OSWEGO PUBLIC LIBRARY DISTRICT,Suburban,"70,508",466,262,121,83,"9,710","8,501",853,0,0
IL0407,REDDICK PUBLIC LIBRARY DISTRICT,Town,"23,958",347,147,49,113,"3,795","1,862",838,756,38
IL0408,PALATINE PUBLIC LIBRARY DISTRICT,Suburban,"89,395",819,393,45,317,"18,419","10,031","7,475",64,64
IL0409,PALESTINE PUBLIC LIBRARY DISTRICT,Rural,"2,193",242,73,74,95,"2,686","1,397",721,0,0
IL0410,PALOS HEIGHTS PUBLIC LIBRARY,Suburban,"12,068",327,28,0,298,"7,091",539,"6,551",1,1
IL0411,PALOS PARK PUBLIC LIBRARY,Suburban,"4,899",199,60,35,100,"2,442",789,"1,117",254,4
IL0412,CARNEGIE-SCHUYLER LIBRARY,Town,"5,199",1,1,0,0,16,16,0,0,0
IL0413,PARIS CARNEGIE PUBLIC LIBRARY,Town,"8,291",31,11,6,13,299,137,92,65,1
IL0414,PARK FOREST PUBLIC LIBRARY,Suburban,"21,687",104,28,3,72,"1,569",493,"1,007",37,1
IL0415,PARK RIDGE PUBLIC LIBRARY,Suburban,"39,656",472,211,83,178,"6,864","2,997","3,614",0,0
IL0416,PATOKA PUBLIC LIBRARY,Rural,525,0,0,0,0,0,0,0,0,0
IL0417,PAW PAW PUBLIC LIBRARY DISTRICT,Rural,830,62,48,2,10,528,352,146,21,2
IL0418,PAWNEE PUBLIC LIBRARY,Town,"2,678",9,7,2,0,580,525,0,0,0
IL0419,PAXTON CARNEGIE LIBRARY,Town,"4,450",33,28,0,2,275,168,35,72,3
IL0420,PEARL CITY PUBLIC LIBRARY DISTRICT,Rural,"2,432",18,3,0,3,173,43,13,117,12
IL0421,PECATONICA PUBLIC LIBRARY DISTRICT,Rural,"5,512",48,24,8,0,"1,472","1,320",0,112,16
IL0422,PEKIN PUBLIC LIBRARY,Suburban,"31,731",529,298,19,0,"5,298","3,017",0,"2,154",212
IL0423,PEORIA PUBLIC LIBRARY,City,"113,150",658,307,84,267,"11,035","6,572","3,227",0,0
IL0424,PEORIA HEIGHTS PUBLIC LIBRARY,Suburban,"5,908",327,236,79,12,"3,639","3,119",137,0,0
IL0425,PEOTONE PUBLIC LIBRARY DISTRICT,Town,"16,851",295,153,13,120,"4,148","1,320","1,986",626,9
IL0426,PERU PUBLIC LIBRARY,Town,"9,896",69,25,10,33,"1,281","1,037",233,0,1
IL0427,PETERSBURG PUBLIC LIBRARY,Town,"2,258",128,126,0,2,"1,438","1,430",8,0,0
IL0428,PHILO PUBLIC LIBRARY DISTRICT,Rural,"1,906",266,174,0,0,"3,030","2,610",0,420,92
IL0429,PINCKNEYVILLE PUBLIC LIBRARY,Town,"5,066",26,23,1,0,245,234,0,9,2
IL0430,PIPER CITY PUBLIC LIBRARY DISTRICT,Rural,"1,021",25,9,0,16,152,59,93,0,0
IL0431,PITTSFIELD PUBLIC LIBRARY,Town,"4,206",14,6,1,2,655,147,108,381,5
IL0432,PLAINFIELD PUBLIC LIBRARY DISTRICT,Suburban,"79,055","2,041",956,190,417,"38,387","26,888","2,532","6,054",478
IL0434,PLANO COMMUNITY LIBRARY DISTRICT,Suburban,"14,092",272,133,7,132,"2,828","1,799",989,0,0
IL0435,POLO PUBLIC LIBRARY DISTRICT,Rural,"2,692",208,70,28,42,"3,110",813,712,"1,347",68
IL0436,PONTIAC PUBLIC LIBRARY,Town,"11,150",211,181,17,9,"4,542","3,316",148,"1,010",4
IL0437,POPLAR CREEK PUBLIC LIBRARY DISTRICT,Suburban,"65,645",785,446,84,38,"15,860","10,548","2,356","2,324",217
IL0438,POTOMAC PUBLIC LIBRARY DISTRICT,Rural,"1,195",201,100,70,29,"1,178",846,91,150,2
IL0439,PRAIRIE TRAILS PUBLIC LIBRARY DISTRICT,Suburban,"30,376",535,205,45,137,"5,686","3,410",840,902,148
IL0440,PRINCETON PUBLIC LIBRARY,Town,"7,832",114,8,14,87,"1,077",246,572,181,5
IL0441,LILLIE M. EVANS LIBRARY DISTRICT,Rural,"3,840",365,169,27,169,"4,143","2,733","1,222",0,0
IL0442,HENRY C. ADAMS MEMORIAL LIBRARY,Rural,"1,946",138,80,3,30,408,260,26,110,25
IL0443,PROSPECT HEIGHTS PUBLIC LIBRARY DISTRICT,Suburban,"15,044",838,564,0,274,"37,345","31,153","6,192",0,0
IL0444,PUTNAM COUNTY PUBLIC LIBRARY DISTRICT,Rural,"5,635",443,363,2,78,"3,481","2,666",780,0,0
IL0445,QUINCY PUBLIC LIBRARY,Town,"39,463",334,122,86,0,"9,750","8,573",0,682,126
IL0446,RANTOUL PUBLIC LIBRARY,Town,"12,371",122,14,2,106,"1,422",932,479,0,0
IL0447,RED BUD PUBLIC LIBRARY,Town,"3,804",12,2,0,10,167,17,150,0,0
IL0448,RICHTON PARK PUBLIC LIBRARY DISTRICT,Suburban,"11,738",254,97,15,142,"1,945",999,712,0,0
IL0450,ELWOOD LIBRARY DISTRICT,Rural,"1,459",12,6,3,3,21,10,10,0,0
IL0451,RIVER FOREST PUBLIC LIBRARY,Suburban,"11,717",641,291,109,119,"11,054","6,790","1,565","1,832",122
IL0452,RIVER GROVE PUBLIC LIBRARY DISTRICT,Suburban,"10,578",93,74,0,16,848,578,181,89,3
IL0453,RIVER VALLEY DISTRICT LIBRARY,Suburban,"5,153",284,165,84,35,"2,651","1,230",987,0,0
IL0454,RIVERDALE PUBLIC LIBRARY DISTRICT,Suburban,"10,758",15,4,2,8,,,,,1
IL0454,RIVERDALE PUBLIC LIBRARY DISTRICT,Suburban,"10,758",,,,,-1,-1,-1,-1,
IL0456,ROBERT R. JONES PUBLIC LIBRARY DISTRICT,Suburban,"4,855",90,70,20,0,"1,620","1,500",0,0,0
IL0457,ROBINSON PUBLIC LIBRARY DISTRICT,Town,"14,676",174,120,7,25,"5,741","2,038",966,"2,053",22
IL0458,FLAGG-ROCHELLE PUBLIC LIBRARY DISTRICT,Town,"13,296",45,36,2,4,321,235,40,42,3
IL0459,ROCHESTER PUBLIC LIBRARY DISTRICT,Suburban,"7,540",364,200,59,81,"8,197","3,487","3,954",570,24
IL0460,ROCK FALLS PUBLIC LIBRARY DISTRICT,Town,"10,570",21,18,0,1,342,312,5,25,2
IL0461,ROCK ISLAND PUBLIC LIBRARY,City,"37,108",624,232,118,176,"26,565","20,114","3,735","2,548",98
IL0462,ROCKFORD PUBLIC LIBRARY,City,"148,655",549,318,67,0,"14,333","7,322",0,"5,856",164
IL0463,ROLLING MEADOWS LIBRARY,Suburban,"24,200",225,110,0,98,"26,467","23,556","2,780",131,17
IL0464,ROODHOUSE PUBLIC LIBRARY,Town,"1,578",216,75,1,140,322,177,140,0,0
IL0465,ROSELLE PUBLIC LIBRARY DISTRICT,Suburban,"22,744",521,288,61,172,"9,973","7,818","1,570",0,0
IL0466,ROSICLARE MEMORIAL PUBLIC LIBRARY,Rural,980,95,35,4,55,"1,089",607,349,86,1
IL0467,ROUND LAKE AREA PUBLIC LIBRARY DISTRICT,Suburban,"39,675",284,108,51,105,"1,823",720,499,371,20
IL0468,ROXANA PUBLIC LIBRARY DISTRICT,Suburban,"1,476",261,143,51,52,"13,437","10,401",622,"1,250",15
IL0469,ROYALTON PUBLIC LIBRARY DISTRICT,Rural,"1,068",0,0,0,0,0,0,0,0,0
IL0470,RUSHVILLE PUBLIC LIBRARY,Town,"3,005",101,32,8,56,"4,022","1,432","1,630",200,5
IL0471,SAINT CHARLES PUBLIC LIBRARY DISTRICT,Suburban,"55,889","1,299",667,72,469,"24,621","14,229","7,494","1,757",91
IL0472,SAINT ELMO PUBLIC LIBRARY DISTRICT,Rural,"6,064",24,0,0,23,238,0,163,75,1
IL0473,SAINT JOSEPH TOWNSHIP-SWEARINGEN MEMORIAL LIBRARY,Town,"5,598",9,4,0,4,563,122,90,351,1
IL0474,BRYAN-BENNETT LIBRARY,Town,"7,282",78,31,4,41,"1,009",452,359,59,2
IL0475,SALEM TOWNSHIP PUBLIC LIBRARY DISTRICT,Town,"1,117",108,31,2,0,646,176,0,463,75
IL0476,SANDWICH PUBLIC LIBRARY DISTRICT,Suburban,"7,714",527,211,77,233,"3,595","1,293","1,625",471,6
IL0477,SAVANNA PUBLIC LIBRARY DISTRICT,Town,"3,748",51,46,0,5,877,787,90,0,0
IL0479,SCHAUMBURG TOWNSHIP DISTRICT LIBRARY,City,"130,345","1,857",523,232,"1,041","45,465","17,906","20,071","4,784",61
IL0480,SCHILLER PARK PUBLIC LIBRARY,Suburban,"11,709",28,12,4,6,249,113,6,125,6
IL0481,SCHMALING MEMORIAL PUBLIC LIBRARY DISTRICT,Town,"3,647",76,69,0,5,544,491,18,35,2
IL0482,SELBY TOWNSHIP LIBRARY DISTRICT,Rural,"2,159",107,11,10,81,710,192,382,115,5
IL0483,SENECA PUBLIC LIBRARY DISTRICT,Rural,"4,406",300,139,62,58,"2,645","1,451",401,374,41
IL0484,SESSER PUBLIC LIBRARY,Rural,"1,888",18,0,0,0,243,0,0,243,18
IL0485,FLEWELLIN MEMORIAL LIBRARY,Rural,863,55,52,0,3,102,94,8,0,0
IL0486,SHAWNEETOWN PUBLIC LIBRARY,Rural,"1,054",23,13,0,10,504,249,255,0,0
IL0487,SHEFFIELD PUBLIC LIBRARY,Rural,821,20,8,4,8,169,85,72,0,0
IL0488,SHELBYVILLE PUBLIC LIBRARY,Town,"4,674",62,59,0,3,728,715,13,0,0
IL0489,SHELDON PUBLIC LIBRARY DISTRICT,Rural,"1,638",15,10,0,5,20,20,0,0,0
IL0490,SHERRARD PUBLIC LIBRARY DISTRICT,Rural,"6,232",244,132,46,66,"2,132","1,143",736,0,0
IL0491,SHOREWOOD-TROY PUBLIC LIBRARY DISTRICT,Suburban,"21,780",486,79,17,357,"4,000","2,619","1,161",139,33
IL0492,SIDELL DISTRICT LIBRARY,Rural,"1,605",4,2,0,2,58,36,22,0,0
IL0493,SIDNEY COMMUNITY LIBRARY,Rural,"1,208",0,0,0,0,0,0,0,0,0
IL0494,SILVIS PUBLIC LIBRARY,Suburban,"8,003",238,127,46,61,"3,080","1,324",777,682,4
IL0495,SKOKIE PUBLIC LIBRARY,City,"67,824","1,314",582,217,515,"17,512","9,006","5,097",0,0
IL0496,SOMONAUK PUBLIC LIBRARY DISTRICT,Rural,"9,255",475,260,18,173,"5,064","1,248","2,520","1,232",24
IL0497,SOUTH BELOIT PUBLIC LIBRARY,Suburban,"7,989",42,0,0,41,424,0,274,150,1
IL0498,SOUTH COUNTY PUBLIC LIBRARY DISTRICT,Rural,"1,122",0,0,0,0,0,0,0,0,0
IL0499,SOUTH HOLLAND PUBLIC LIBRARY,Suburban,"21,465",359,146,74,118,"5,540",792,"2,303","2,244",21
IL0501,SPARTA PUBLIC LIBRARY,Town,"4,095",18,4,14,0,269,180,0,0,0
IL0502,SPOON RIVER LIBRARY DISTRICT,Rural,"3,106",29,21,0,1,"1,649",689,10,950,7
IL0503,RICHARD A. MAUTINO MEMORIAL LIBRARY,Town,"5,582",40,26,0,3,378,218,83,77,11
IL0504,LINCOLN LIBRARY,City,"114,394",309,119,17,0,"14,692","13,455",0,"1,059",173
IL0506,ALLIN TOWNSHIP LIBRARY,Rural,877,0,0,0,0,0,0,0,0,0
IL0507,STAUNTON PUBLIC LIBRARY,Town,"5,054",6,0,6,0,36,0,0,0,0
IL0508,STEELEVILLE AREA PUBLIC LIBRARY DISTRICT,Town,"4,182",262,20,30,204,989,136,645,82,8
IL0509,STEGER-SOUTH CHICAGO HEIGHTS PUBLIC LIBRARY DISTRICT,Suburban,"13,869",45,29,0,16,698,621,77,0,0
IL0510,STERLING PUBLIC LIBRARY,Town,"14,764",56,27,0,0,456,271,0,185,29
IL0511,STICKNEY-FOREST VIEW PUBLIC LIBRARY DISTRICT,Suburban,"10,833",413,240,10,162,"4,528","3,156","1,104",200,1
IL0512,JULIA HULL DISTRICT LIBRARY,Town,"8,022",184,111,16,57,"1,484",715,715,0,0
IL0513,STOCKTON TOWNSHIP PUBLIC LIBRARY,Rural,"2,282",11,2,2,7,202,100,99,0,0
IL0514,STONINGTON TOWNSHIP PUBLIC LIBRARY,Rural,993,69,20,0,45,"1,111",390,504,217,4
IL0515,STREATOR PUBLIC LIBRARY,Town,"12,500",107,70,21,10,"2,646","1,666",554,118,6
IL0516,SUGAR GROVE PUBLIC LIBRARY DISTRICT,Rural,"16,114",210,111,7,54,"3,597","1,034",475,"2,055",38
IL0517,ELIZABETH TITUS MEMORIAL LIBRARY,Town,"4,413",143,93,13,36,"1,576","1,122",311,59,1
IL0519,SYCAMORE PUBLIC LIBRARY,Suburban,"18,577",525,253,47,199,"7,455","4,305","2,079",856,26
IL0520,TALCOTT FREE LIBRARY DISTRICT,Suburban,"11,060",33,20,5,8,376,221,128,0,0
IL0521,TAYLORVILLE PUBLIC LIBRARY,Town,"10,506",-1,-2,-1,-1,-1,-2,-1,-1,-1
IL0522,YORK TOWNSHIP PUBLIC LIBRARY,Rural,"2,740",114,24,1,78,"1,193",476,596,81,11
IL0523,THORNTON PUBLIC LIBRARY,Suburban,"2,386",20,10,0,10,321,32,289,0,0
IL0524,THREE RIVERS PUBLIC LIBRARY DISTRICT,Suburban,"28,751",190,60,24,89,"5,868","1,532","1,521","2,502",17
IL0525,TINLEY PARK PUBLIC LIBRARY,Suburban,"55,971",921,443,82,344,"16,756","8,968","5,578","1,513",52
IL0526,TISKILWA PUBLIC LIBRARY,Rural,"1,358",146,93,37,13,"1,204",727,248,38,3
IL0527,SUMPTER TOWNSHIP LIBRARY,Rural,"2,047",29,22,0,7,740,675,65,0,0
IL0528,TOLONO PUBLIC LIBRARY DISTRICT,Suburban,"13,315",118,63,4,11,"2,295",528,60,"1,689",40
IL0529,TOLUCA PUBLIC LIBRARY DISTRICT,Rural,"1,338",4,4,0,0,300,300,0,0,0
IL0530,TOULON PUBLIC LIBRARY DISTRICT,Rural,"2,199",500,130,12,358,"2,961",991,"1,934",0,0
IL0531,TOWANDA DISTRICT LIBRARY,Suburban,"1,939",8,5,1,2,67,33,9,0,0
IL0532,TREMONT DISTRICT LIBRARY,Rural,"4,937",210,174,16,14,"3,310","2,323",803,0,6
IL0533,TRENTON PUBLIC LIBRARY,Town,"2,690",30,10,0,18,771,407,349,15,2
IL0534,TRI-TOWNSHIP PUBLIC LIBRARY DISTRICT,Suburban,"16,886",743,379,60,300,"3,498","2,861",246,209,4
IL0535,TUSCOLA PUBLIC LIBRARY,Town,"4,636",207,165,1,41,"1,822","1,616",184,0,0
IL0536,COLONA DISTRICT PUBLIC LIBRARY,Suburban,"6,621",95,79,3,8,675,621,12,12,5
IL0537,UNIVERSITY PARK PUBLIC LIBRARY DISTRICT,Suburban,"7,145",60,40,10,5,60,40,5,5,5
IL0538,URBANA FREE LIBRARY,City,"38,336",392,221,67,63,"6,827","2,461","1,447","2,639",41
IL0539,UTICA PUBLIC LIBRARY DISTRICT,Town,"2,454",14,0,0,14,280,0,280,0,0
IL0540,VALLEY DISTRICT LIBRARY,Rural,596,25,16,2,4,224,120,26,62,3
IL0541,VALMEYER PUBLIC LIBRARY DISTRICT,Rural,"2,490",20,10,5,5,105,85,10,0,0
IL0542,EVANS PUBLIC LIBRARY DISTRICT,Town,"11,960",51,51,0,0,"1,635","1,635",0,0,0
IL0543,VENICE PUBLIC LIBRARY,Suburban,"1,498",0,0,0,0,0,0,0,0,0
IL0544,VERMONT PUBLIC LIBRARY,Rural,570,3,3,0,0,12,12,0,0,0
IL0545,VERNON AREA PUBLIC LIBRARY DISTRICT,Suburban,"44,206","1,114",434,80,0,"19,945","9,977",0,"8,848",600
IL0546,VICTORIA PUBLIC LIBRARY DISTRICT,Rural,769,6,6,0,0,42,42,0,0,0
IL0547,VIENNA CARNEGIE PUBLIC LIBRARY,Rural,"1,343",0,0,0,0,0,0,0,0,0
IL0548,CAMARGO TOWNSHIP DISTRICT LIBRARY,Rural,"3,963",104,83,2,19,"2,048","1,651",362,0,0
IL0549,VILLA PARK PUBLIC LIBRARY,Suburban,"22,263",318,86,15,211,"3,415","1,129","2,082",157,6
IL0550,VIOLA PUBLIC LIBRARY DISTRICT,Rural,"2,078",40,18,9,8,218,128,37,28,5
IL0551,GRAND PRAIRIE OF THE WEST PUBLIC LIBRARY DISTRICT,Town,"4,547",1,1,0,0,75,75,0,0,0
IL0552,VIRGINIA MEMORIAL PUBLIC LIBRARY,Rural,"1,514",9,8,0,0,347,197,0,150,1
IL0553,WALNUT PUBLIC LIBRARY DISTRICT,Rural,"1,597",94,43,4,47,913,655,226,0,0
IL0554,WARREN TOWNSHIP PUBLIC LIBRARY,Rural,"1,483",60,30,7,23,919,702,185,0,0
IL0555,WARREN COUNTY PUBLIC LIBRARY DISTRICT,Town,"16,831",154,102,10,41,"2,664","2,072",275,264,1
IL0556,WARREN-NEWPORT PUBLIC LIBRARY DISTRICT,Suburban,"66,477",471,249,80,142,"7,291","4,516","2,133",0,0
IL0557,WARRENVILLE PUBLIC LIBRARY DISTRICT,Suburban,"14,096",422,128,64,157,"5,069","1,719","1,247","1,843",73
IL0558,WARSAW PUBLIC LIBRARY,Rural,"1,510",0,0,0,0,0,0,0,0,0
IL0559,WASHINGTON DISTRICT LIBRARY,Suburban,"24,589",465,264,55,146,"8,117","7,042",682,0,0
IL0560,MORRISON-TALBOTT LIBRARY,Town,"11,013",160,90,26,36,"3,376",951,412,"1,946",8
IL0561,CLINTON TOWNSHIP PUBLIC LIBRARY,Rural,"1,828",8,0,0,4,408,0,9,399,4
IL0562,WATSEKA PUBLIC LIBRARY,Town,"4,679",72,42,2,25,936,561,182,183,3
IL0563,WAUCONDA AREA PUBLIC LIBRARY DISTRICT,Suburban,"28,941",193,49,1,138,"4,285","1,089","2,789",367,5
IL0564,WAUKEGAN PUBLIC LIBRARY,Suburban,"89,321","1,100",222,110,739,"4,787","1,068","2,531","1,031",29
IL0565,WAVERLY PUBLIC LIBRARY,Rural,"1,194",7,6,0,1,14,8,6,0,0
IL0566,WAYNE CITY KISSNER PUBLIC LIBRARY,Rural,994,12,10,2,0,400,350,0,0,0
IL0567,WAYNESVILLE TOWNSHIP LIBRARY,Rural,640,77,71,4,1,764,699,20,24,1
IL0568,WELDON PUBLIC LIBRARY DISTRICT,Rural,690,68,56,6,4,"2,389","1,825",59,458,2
IL0569,BOND PUBLIC LIBRARY,Rural,974,0,0,0,0,0,0,0,0,0
IL0570,WEST CHICAGO PUBLIC LIBRARY DISTRICT,Suburban,"28,928",499,264,84,150,"6,321","4,102","1,195",81,1
IL0571,WEST FRANKFORT PUBLIC LIBRARY,Town,"7,275",66,54,6,6,"1,344",847,440,0,0
IL0572,WEST SALEM PUBLIC LIBRARY,Rural,786,7,5,2,0,93,90,0,0,0
IL0573,WESTCHESTER PUBLIC LIBRARY,Suburban,"16,892",77,63,4,6,"7,767","5,858","1,405",486,4
IL0574,WESTERN DISTRICT LIBRARY,Rural,"4,768",128,60,16,50,"1,468","1,008",305,73,2
IL0575,THOMAS FORD MEMORIAL LIBRARY,Suburban,"13,629",347,186,69,85,"9,764","6,582","1,254",951,7
IL0576,WESTMONT PUBLIC LIBRARY,Suburban,"24,429",303,135,31,124,"2,943","1,531",649,382,13
IL0577,WESTVILLE PUBLIC LIBRARY DISTRICT,Suburban,"11,499",42,32,0,10,323,290,33,0,0
IL0578,WHEATON PUBLIC LIBRARY,Suburban,"53,970",993,443,193,206,"16,361","4,953","5,699","4,620",151
IL0579,WHITE HALL TOWNSHIP LIBRARY,Town,"2,557",95,40,0,55,985,820,165,0,0
IL0580,CARLOCK PUBLIC LIBRARY DISTRICT,Rural,"2,898",84,62,0,9,"1,685","1,185",101,399,13
IL0581,WILLIAM LEONARD PUBLIC LIBRARY DISTRICT,Suburban,"4,675",42,5,5,30,520,170,200,50,2
IL0584,WILMETTE PUBLIC LIBRARY DISTRICT,Suburban,"28,180",624,321,68,190,"13,152","5,543","4,809","2,274",45
IL0585,WILMINGTON PUBLIC LIBRARY DISTRICT,Town,"8,970",370,270,33,60,"6,974","6,273",494,94,7
IL0586,WINCHESTER PUBLIC LIBRARY,Rural,"1,574",54,40,0,14,414,339,75,0,0
IL0587,WINDSOR STORM MEMORIAL PUBLIC LIBRARY DISTRICT,Rural,"1,397",28,12,0,4,450,182,43,225,12
IL0588,WINFIELD PUBLIC LIBRARY,Suburban,"9,835",87,41,0,46,887,421,466,0,0
IL0589,WINNEBAGO PUBLIC LIBRARY DISTRICT,Suburban,"7,299",74,51,0,23,965,779,186,0,0
IL0590,WINNETKA-NORTHFIELD PUBLIC LIBRARY DISTRICT,Suburban,"18,495","1,266",650,58,254,"16,195","7,054","3,981","4,705",304
IL0591,WITT TOWNSHIP MEMORIAL LIBRARY,Town,"1,043",0,0,0,0,0,0,0,0,0
IL0592,WOOD DALE PUBLIC LIBRARY DISTRICT,Suburban,"12,866",558,310,156,92,"6,593","4,899",912,0,0
IL0593,WOOD RIVER PUBLIC LIBRARY,Suburban,"10,464",260,136,19,71,"11,168","5,180","1,989","3,559",34
IL0594,WOODRIDGE PUBLIC LIBRARY,Suburban,"34,158",331,183,4,136,"6,637","3,910","2,252",459,8
IL0595,WOODSTOCK PUBLIC LIBRARY,Town,"25,630",127,45,11,20,"3,354","2,384",211,589,51
IL0596,WORDEN PUBLIC LIBRARY DISTRICT,Rural,"1,447",2,2,0,0,7,7,0,0,0
IL0597,WORTH PUBLIC LIBRARY DISTRICT,Suburban,"10,974",99,66,7,26,"2,934","2,701",190,0,0
IL0598,RAYMOND A SAPP MEMORIAL TOWNSHIP LIBRARY,Rural,"1,242",6,0,0,0,50,0,0,50,6
IL0599,WYOMING PUBLIC LIBRARY DISTRICT,Rural,"2,052",55,35,1,10,607,265,42,297,9
IL0600,YORKVILLE PUBLIC LIBRARY,Suburban,"21,533",389,223,59,107,"7,733","5,577","1,771",0,0
IL0601,ZEIGLER PUBLIC LIBRARY,Rural,"1,484",22,13,6,3,201,124,20,0,0
IL0602,ZION-BENTON PUBLIC LIBRARY DISTRICT,Suburban,"42,836",288,87,90,102,"2,887","1,404",901,203,9
IL0603,VESPASIAN WARNER PUBLIC LIBRARY DISTRICT,Town,"10,688",199,116,13,0,"5,417","3,385",0,"1,956",70
IL0604,WEST UNION DISTRICT LIBRARY,Rural,901,27,0,0,0,503,0,0,503,27
IL0606,BRIGHTON MEMORIAL LIBRARY DISTRICT,Rural,"2,260",65,38,2,12,805,656,75,70,13
IL0607,FARMERSVILLE-WAGGONER PUBLIC LIBRARY DISTRICT,Rural,"1,415",0,0,0,0,0,0,0,0,0
IL0608,LINCOLNWOOD PUBLIC LIBRARY DISTRICT,Suburban,"13,469",440,243,30,165,"6,929","4,794","1,272",586,2
IL0609,MELROSE PARK PUBLIC LIBRARY,Suburban,"24,796",0,0,0,0,0,0,0,0,0
IL0610,SMITHTON PUBLIC LIBRARY DISTRICT,Town,"5,225",130,80,0,39,"1,463","1,081",221,161,11
IL0612,FOUR STAR PUBLIC LIBRARY DISTRICT,Rural,"4,337",87,72,4,10,579,478,34,60,1
IL0613,RAMSEY PUBLIC LIBRARY,Rural,911,1,0,0,0,150,0,0,150,1
IL0614,WILLIAMSFIELD PUBLIC LIBRARY DISTRICT,Rural,"2,100",155,72,26,55,"1,927","1,047",407,67,2
IL0634,CISSNA PARK COMMUNITY LIBRARY DISTRICT,Rural,"1,687",313,298,6,8,"5,085","4,073",57,280,1
IL0635,ARGENTA-OREANA PUBLIC LIBRARY DISTRICT,Suburban,"3,861",91,21,0,69,"1,025",285,725,15,1
IL0636,HUNTLEY AREA PUBLIC LIBRARY DISTRICT,Suburban,"43,839",258,103,27,128,"4,193","2,239","1,470",0,0
IL0637,CRESTWOOD PUBLIC LIBRARY DISTRICT,Suburban,"9,214",246,119,14,88,"3,510","1,188",520,"1,722",25
IL0638,GLEN CARBON CENTENNIAL LIBRARY DISTRICT,Suburban,"13,865",253,78,23,152,"3,237","1,781","1,366",0,0
IL0639,HUDSON AREA PUBLIC LIBRARY DISTRICT,Rural,"3,395",224,151,21,31,"3,365","2,211",217,747,21
IL0640,ROBERT W. ROWE PUBLIC LIBRARY DISTRICT,Rural,"4,856",299,24,11,223,"1,679",228,985,287,41
IL0641,DOYLE PUBLIC LIBRARY DISTRICT,Rural,"1,692",270,34,17,128,"1,446",546,100,728,91
IL0644,CORTLAND COMMUNITY LIBRARY,Suburban,"4,398",443,250,110,83,"2,804","2,209",376,0,0
IL0645,CRESTON-DEMENT PUBLIC LIBRARY DISTRICT,Rural,863,138,80,12,31,"1,522",347,748,315,15
IL0661,GERMANTOWN PUBLIC LIBRARY DISTRICT,Town,"1,966",96,92,0,3,"1,759","1,729",12,18,1
IL0662,BEECHER COMMUNITY LIBRARY DISTRICT,Town,"6,789",169,116,1,51,"1,770","1,184",509,75,1
IL0663,CENTRAL CITIZENS' LIBRARY DISTRICT,Rural,"4,258",282,159,79,44,"2,313","1,059",894,0,0
IL0664,CLIFTON PUBLIC LIBRARY,Rural,"1,352",4,4,0,0,51,51,0,0,0
IL0665,SHERMAN PUBLIC LIBRARY DISTRICT,Suburban,"4,673",74,44,2,28,"2,115","1,669",291,0,0
IL0666,ATHENS MUNICIPAL LIBRARY,Rural,"1,977",188,110,3,0,"3,602","2,303",0,"1,249",75
IL0667,FREEBURG AREA LIBRARY DISTRICT,Suburban,"6,061",90,46,20,20,982,772,130,20,4
IL0668,PEMBROKE PUBLIC LIBRARY DISTRICT,Rural,"1,843",434,108,100,100,"2,353",251,220,"1,272",126
IL0669,LIMESTONE TOWNSHIP LIBRARY DISTRICT,Suburban,"5,003",243,102,28,75,"1,833",609,528,483,38
