FSCS Key,Library Name,Locale,Service Area Population,Central Library,Branch Library,Bookmobiles
AL0005,DOUBLE SPRINGS PUBLIC LIBRARY,Rural,"1,062",1,0,0
AL0006,HALEYVILLE PUBLIC LIBRARY,Town,"4,104",1,0,0
AL0007,JASPER PUBLIC LIBRARY,Town,"13,278",1,0,0
AL0009,SUMITON PUBLIC LIBRARY,Town,"2,330",1,0,0
AL0010,CHEAHA REGIONAL LIBRARY,Rural,"99,877",1,0,1
AL0011,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,Town,"5,940",1,0,0
AL0012,ASHLAND CITY PUBLIC LIBRARY,Rural,"1,872",1,0,0
AL0013,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,Town,"11,939",1,0,0
AL0014,CHEROKEE COUNTY PUBLIC LIBRARY,Town,"3,528",1,0,0
AL0015,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,Town,"4,781",1,0,0
AL0016,LINCOLN PUBLIC LIBRARY,Rural,"6,979",1,0,0
AL0017,LINEVILLE PUBLIC LIBRARY,Rural,"2,221",1,0,0
AL0018,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,Rural,"3,408",1,0,0
AL0019,OXFORD PUBLIC LIBRARY,City,"21,216",1,0,0
AL0020,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,Town,"15,300",1,0,0
AL0022,ABBEVILLE MEMORIAL LIBRARY,Rural,"7,514",1,0,0
AL0024,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,Town,"9,709",1,0,0
AL0025,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,Rural,"5,983",1,0,0
AL0026,OZARK - DALE COUNTY PUBLIC LIBRARY,Town,"36,876",1,0,0
AL0029,CLIO - ELTON B. STEPHENS LIBRARY,Rural,"3,372",1,0,0
AL0030,LOUISVILLE PUBLIC LIBRARY,Rural,"2,560",1,0,0
AL0031,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,Suburban,"2,377",1,0,0
AL0032,NEWTON PUBLIC LIBRARY,Rural,"2,079",1,0,0
AL0033,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,Rural,"4,933",1,0,0
AL0034,TROY PUBLIC LIBRARY,Town,"26,983",1,0,0
AL0035,UNION SPRINGS PUBLIC LIBRARY,Town,"9,976",1,0,0
AL0037,ANDALUSIA PUBLIC LIBRARY,Town,"17,867",1,0,0
AL0038,BRANTLEY PUBLIC LIBRARY,Rural,"3,412",1,0,0
AL0039,ELBA PUBLIC LIBRARY,Rural,"10,013",1,0,0
AL0040,GENEVA - EMMA KNOX KENAN LIBRARY,Town,"8,206",1,0,0
AL0041,ENTERPRISE PUBLIC LIBRARY,Town,"43,217",1,0,1
AL0042,FLORALA PUBLIC LIBRARY,Rural,"6,298",1,0,0
AL0043,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,Rural,"6,535",1,0,0
AL0044,LUVERNE PUBLIC LIBRARY,Rural,"10,269",1,0,0
AL0045,OPP PUBLIC LIBRARY,Rural,"12,765",1,0,0
AL0046,SAMSON PUBLIC LIBRARY,Rural,"5,797",1,0,0
AL0047,SLOCOMB PUBLIC LIBRARY,Rural,"5,873",1,0,0
AL0048,HORSESHOE BEND REGIONAL LIBRARY,Rural,"151,407",1,0,1
AL0049,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,Town,"14,142",1,1,0
AL0050,DADEVILLE PUBLIC LIBRARY,Rural,"3,007",1,0,0
AL0051,GOODWATER PUBLIC LIBRARY,Rural,"1,288",1,0,0
AL0052,AUBURN PUBLIC LIBRARY,City,"68,343",1,0,0
AL0053,OPELIKA PUBLIC LIBRARY,City,"31,135",1,0,0
AL0054,MILLBROOK PUBLIC LIBRARY,Suburban,"16,117",1,0,0
AL0055,ROCKFORD PUBLIC LIBRARY,Rural,440,1,0,0
AL0056,TALLASSEE COMMUNITY PUBLIC LIBRARY,Rural,"4,454",1,0,0
AL0057,WETUMPKA PUBLIC LIBRARY,Town,"8,431",1,0,0
AL0059,FLORENCE - LAUDERDALE PUBLIC LIBRARY,City,"90,402",1,0,0
AL0060,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,Suburban,"12,758",1,0,0
AL0061,LEIGHTON PUBLIC LIBRARY,Rural,"5,050",1,0,0
AL0062,MUSCLE SHOALS PUBLIC LIBRARY,City,"19,173",1,0,0
