FSCS Key,Library Name,Locale,Service Area Population,Central Library,Branch Library,Bookmobiles
IN0168,HAGERSTOWN-JEFFERSON TOWNSHIP PUBLIC LIBRARY,Rural,"3,207",1,0,0
IN0169,DUBLIN PUBLIC LIBRARY,Town,679,1,0,0
IN0170,CAMBRIDGE CITY PUBLIC LIBRARY,Town,"5,025",1,0,0
IN0171,MORRISSON-REEVES LIBRARY,Town,"50,318",1,0,0
IN0172,CENTERVILLE-CENTER TOWNSHIP PUBLIC LIBRARY,Town,"7,324",1,0,0
IN0173,BRAZIL PUBLIC LIBRARY,Suburban,"8,604",1,0,0
IN0174,JASONVILLE PUBLIC LIBRARY,Rural,"4,923",1,0,0
IN0175,LINTON PUBLIC LIBRARY,Town,"8,158",1,0,0
IN0176,WORTHINGTON JEFFERSON TOWNSHIP PUBLIC LIBRARY,Rural,"1,959",1,0,0
IN0177,BLOOMFIELD-EASTERN GREENE COUNTY PUBLIC LIBRARY,Town,"13,835",1,1,0
IN0178,BEDFORD PUBLIC LIBRARY,Town,"33,833",1,0,0
IN0179,MITCHELL COMMUNITY PUBLIC LIBRARY,Town,"11,178",1,0,0
IN0180,MONROE COUNTY PUBLIC LIBRARY,City,"139,718",1,1,1
IN0181,OWEN COUNTY PUBLIC LIBRARY,Rural,"21,321",1,0,1
IN0182,MONTEZUMA PUBLIC LIBRARY,Rural,"1,292",1,0,0
IN0183,PARKE COUNTY PUBLIC LIBRARY,Town,"15,115",1,0,0
IN0184,PUTNAM COUNTY PUBLIC LIBRARY,Town,"35,117",1,0,0
IN0185,ROACHDALE-FRANKLIN TOWNSHIP PUBLIC LIBRARY,Rural,"1,609",1,0,0
IN0186,SULLIVAN COUNTY PUBLIC LIBRARY,Town,"20,817",1,5,0
IN0187,VERMILLION COUNTY PUBLIC LIBRARY,Rural,"6,555",1,0,0
IN0188,CLINTON PUBLIC LIBRARY,Town,"8,884",1,0,0
IN0189,VIGO COUNTY PUBLIC LIBRARY,City,"106,153",1,1,0
IN0190,THORNTOWN PUBLIC LIBRARY,Rural,"5,962",1,0,0
IN0191,LEBANON PUBLIC LIBRARY,Town,"25,311",1,0,0
IN0193,SHERIDAN PUBLIC LIBRARY,Rural,"5,218",1,0,0
IN0194,WESTFIELD-WASHINGTON PUBLIC LIBRARY,Suburban,"49,262",1,0,1
IN0195,CARMEL CLAY PUBLIC LIBRARY,City,"99,093",1,1,0
IN0196,HAMILTON NORTH PUBLIC LIBRARY,Suburban,"10,863",1,1,0
IN0197,HAMILTON EAST PUBLIC LIBRARY,Suburban,"180,617",1,1,0
IN0198,FORTVILLE-VERNON TOWNSHIP PUBLIC LIBRARY,Suburban,"15,615",1,0,0
IN0199,HANCOCK COUNTY PUBLIC LIBRARY,Suburban,"64,225",1,1,1
IN0200,COATESVILLE-CLAY TOWNSHIP PUBLIC LIBRARY,Rural,"2,341",1,0,0
IN0201,BROWNSBURG PUBLIC LIBRARY,Suburban,"49,089",1,0,0
IN0202,DANVILLE-CENTER TOWNSHIP PUBLIC LIBRARY,Suburban,"14,661",1,0,0
IN0203,CLAYTON-LIBERTY TOWNSHIP PUBLIC LIBRARY,Rural,"6,055",1,0,0
IN0204,AVON-WASHINGTON TOWNSHIP PUBLIC LIBRARY,Suburban,"57,176",1,0,0
IN0205,PLAINFIELD-GUILFORD TOWNSHIP PUBLIC LIBRARY,Suburban,"33,797",1,0,0
IN0206,GREENWOOD PUBLIC LIBRARY,Suburban,"33,151",1,0,0
IN0207,JOHNSON COUNTY PUBLIC LIBRARY,Suburban,"124,714",0,5,0
IN0208,EDINBURGH WRIGHT-HAGEMAN PUBLIC LIBRARY,Suburban,"4,079",1,0,0
IN0209,SPEEDWAY PUBLIC LIBRARY,Suburban,"13,952",1,0,0
IN0210,INDIANAPOLIS PUBLIC LIBRARY,City,"963,251",1,23,2
IN0212,MORGAN COUNTY PUBLIC LIBRARY,Town,"58,364",1,5,0
IN0213,MOORESVILLE PUBLIC LIBRARY,Suburban,"13,416",1,0,0
IN0214,SHELBY COUNTY PUBLIC LIBRARY,Town,"45,055",1,2,0
IN0215,BARTHOLOMEW COUNTY PUBLIC LIBRARY,City,"82,111",1,1,1
IN0216,BROWN COUNTY PUBLIC LIBRARY,Rural,"15,475",1,1,0
IN0217,CHARLESTOWN-CLARK COUNTY PUBLIC LIBRARY,Town,"59,624",1,4,1
IN0218,JEFFERSONVILLE TOWNSHIP PUBLIC LIBRARY,Suburban,"61,469",1,1,0
IN0219,CRAWFORD COUNTY PUBLIC LIBRARY,Rural,"10,526",1,0,0
IN0220,LAWRENCEBURG PUBLIC LIBRARY DISTRICT,Town,"33,739",1,1,1
IN0221,AURORA PUBLIC LIBRARY DISTRICT,Town,"16,940",1,2,0
IN0223,NEW ALBANY-FLOYD COUNTY PUBLIC LIBRARY,Suburban,"80,484",1,3,0
IN0224,HARRISON COUNTY PUBLIC LIBRARY,Town,"39,654",1,4,0
IN0225,BROWNSTOWN PUBLIC LIBRARY,Town,"7,325",1,0,0
IN0226,JACKSON COUNTY PUBLIC LIBRARY,Town,"39,103",1,2,1
IN0227,JEFFERSON COUNTY PUBLIC LIBRARY,Town,"33,147",1,1,0
IN0228,JENNINGS COUNTY PUBLIC LIBRARY,Town,"27,613",1,0,0
IN0229,OHIO COUNTY PUBLIC LIBRARY,Rural,"5,940",1,0,0
IN0230,MELTON PUBLIC LIBRARY,Rural,"5,646",1,0,0
IN0231,ORLEANS TOWN & TOWNSHIP PUBLIC LIBRARY,Rural,"4,859",1,0,0
IN0232,PAOLI PUBLIC LIBRARY,Town,"6,038",1,0,0
IN0233,BATESVILLE MEMORIAL PUBLIC LIBRARY,Town,"11,664",1,0,0
IN0234,OSGOOD PUBLIC LIBRARY,Rural,"10,202",1,1,0
IN0235,"TYSON LIBRARY ASSOCIATION, INC",Rural,"7,820",1,0,0
IN0236,SCOTT COUNTY PUBLIC LIBRARY,Town,"24,384",1,2,0
IN0237,SWITZERLAND COUNTY PUBLIC LIBRARY,Rural,"9,737",1,0,0
IN0238,SALEM-WASHINGTON TOWNSHIP PUBLIC LIBRARY,Town,"10,506",1,0,0
IN0239,LINCOLN HERITAGE PUBLIC LIBRARY,Rural,"11,000",1,1,0
IN0241,LOWELL PUBLIC LIBRARY,Town,"22,120",1,2,0
IN0242,JOYCE PUBLIC LIBRARY,Rural,"1,619",1,0,0
IN0243,HUSSEY-MAYFIELD MEMORIAL PUBLIC LIBRARY,Suburban,"44,011",1,0,1
IN0244,GREENSBURG-DECATUR COUNTY CONTRACTUAL PUBLIC LIBRARY,Town,"26,472",1,1,1
IN0247,NORTH WEBSTER COMMUNITY PUBLIC LIBRARY,Town,"6,576",1,0,0
IN0248,ADAMS PUBLIC LIBRARY SYSTEM,Town,"11,170",1,1,0
IN8007,YORKTOWN PUBLIC LIBRARY,Suburban,"11,467",1,0,0
KS0001,RANDALL PUBLIC LIBRARY,Rural,80,1,0,0
KS0002,SUNSHINE CITY LIBRARY,Rural,102,1,0,0
KS0003,FORMOSO PUBLIC LIBRARY,Rural,92,1,0,0
KS0004,LONG ISLAND COMMUNITY LIBRARY,Rural,135,1,0,0
KS0005,RAE HOBSON MEMORIAL LIBRARY,Rural,83,1,0,0
KS0006,GAYLORD CITY LIBRARY,Rural,83,1,0,0
KS0007,MCCRACKEN PUBLIC LIBRARY,Rural,239,1,0,0
KS0009,KIRWIN CITY LIBRARY,Rural,132,1,0,0
KS0010,BISON COMMUNITY LIBRARY,Rural,178,1,0,0
KS0011,BURR OAK COMMUNITY LIBRARY,Rural,344,1,0,0
KS0012,PALCO PUBLIC LIBRARY,Rural,210,1,0,0
KS0013,SYLVAN GROVE PUBLIC LIBRARY,Rural,285,1,0,0
KS0014,AGRA/F LEE DOCTOR LIBRARY,Rural,200,1,0,0
KS0015,LEBANON COMMUNITY,Rural,182,1,0,0
KS0016,COURTLAND COMMUNITY LIBRARY,Rural,288,1,0,0
KS0017,JAMESTOWN CITY LIBRARY,Rural,234,1,0,0
KS0018,GYPSUM COMMUNITY LIBRARY,Rural,402,1,0,0
KS0019,OTIS COMMUNITY LIBRARY,Rural,297,1,0,0
KS0020,SCANDIA CITY LIBRARY,Rural,337,1,0,0
KS0021,LUCAS PUBLIC LIBRARY,Rural,337,1,0,0
KS0022,GLEN ELDER LIBRARY,Rural,359,1,0,0
KS0023,JEWELL PUBLIC LIBRARY,Rural,365,1,0,0
KS0024,DELPHOS PUBLIC LIBRARY,Rural,306,1,0,0
KS0025,KENSINGTON COMMUNITY/SCHOOL LIBRARY,Rural,401,1,0,0
KS0026,GLASCO CITY LIBRARY,Rural,441,1,0,0
KS0027,CAWKER CITY PUBLIC LIBRARY,Rural,447,1,0,0
KS0028,KANOPOLIS PUBLIC LIBRARY,Rural,453,1,0,0
KS0029,LOGAN PUBLIC LIBRARY,Rural,440,1,0,0
KS0030,RANDOLPH-DECKER PUB. LIB.,Rural,687,1,0,0
KS0031,LANG MEMORIAL,Rural,836,1,0,0
KS0032,INDEPENDENT TOWNSHIP,Rural,657,1,0,0
KS0033,MANKATO CITY LIBRARY,Rural,848,1,0,0
KS0034,DOWNS CARNEGIE LIBRARY,Rural,804,1,0,0
KS0035,LINCOLN CARNEGIE LIBRARY,Rural,"1,153",1,0,0
KS0036,BARNARD LIBRARY,Rural,"1,337",1,0,0
KS0037,STOCKTON PUBLIC LIBRARY,Rural,"1,380",1,0,0
KS0038,OSBORNE PUBLIC LIBRARY,Rural,"1,324",1,0,0
KS0039,MINNEAPOLIS PUBLIC,Rural,"1,948",1,0,0
KS0040,SMITH CENTER PUBLIC LIBRARY,Rural,"1,572",1,0,0
KS0041,ELLIS PUBLIC LIBRARY,Rural,"2,001",1,0,0
KS0042,PLAINVILLE MEMORIAL LIBRARY,Rural,"1,762",1,0,0
KS0043,J.H. ROBBINS MEMORIAL LIBRARY,Town,"2,992",1,0,0
KS0044,ELLINWOOD SCHOOL COMMUNITY LIBRARY,Rural,"1,989",1,0,0
KS0045,BELLEVILLE PUBLIC LIBRARY,Rural,"2,021",1,0,0
KS0046,PHILLIPSBURG CITY LIBRARY,Town,"2,254",1,0,0
KS0047,HOISINGTON PUBLIC LIBRARY,Town,"2,657",1,0,0
KS0048,PORT LIBRARY,Rural,"3,407",1,0,0
KS0049,RUSSELL PUBLIC LIBRARY,Town,"4,388",1,0,0
KS0050,FRANK CARLSON LIBRARY,Town,"5,032",1,0,0
KS0051,JORDAAN MEMORIAL LIBRARY,Town,"6,225",1,0,0
KS0052,GREAT BEND PUBLIC LIBRARY,Town,"14,580",1,0,0
KS0053,HAYS PUBLIC LIBRARY,Town,"20,795",1,0,1
KS0054,SALINA PUBLIC LIBRARY,Town,"46,481",1,0,0
KS0056,BURNS PUBLIC LIBRARY,Rural,232,1,0,0
KS0057,DWIGHT PUBLIC LIBRARY,Rural,215,1,0,0
KS0058,ELM CREEK TOWNSHIP LIBRARY,Rural,296,1,0,0
KS0059,LEONARDVILLE CITY LIBRARY,Rural,436,1,0,0
KS0060,AXTELL PUBLIC LIBRARY,Rural,398,1,0,0
KS0061,GOESSEL PUBLIC LIBRARY,Rural,558,1,0,0
KS0062,HOPE COMMUNITY LIBRARY,Rural,312,1,0,0
KS0063,WHITE CITY PUBLIC LIBRARY,Rural,450,1,0,0
KS0064,FLORENCE PUBLIC LIBRARY,Rural,387,1,0,0
KS0065,CLIFTON PUBLIC LIBRARY,Rural,455,1,0,0
KS0066,WATERVILLE PUBLIC LIBRARY,Rural,656,1,0,0
KS0067,HANOVER PUBLIC,Rural,689,1,0,0
KS0068,WAKEFIELD PUBLIC LIBRARY,Rural,846,1,0,0
KS0069,ENTERPRISE PUBLIC LIBRARY,Rural,714,1,0,0
KS0070,SOLOMON PUBLIC LIBRARY,Rural,993,1,0,0
KS0071,FRANKFORT CITY LIBRARY,Rural,723,1,0,0
KS0072,"LIBRARY DISTRICT #1, MIAMI COUNTY",Town,"9,774",1,0,0
KS0073,BURNLEY MEMORIAL/FALLS TOWNSHIP,Rural,"1,028",1,0,0
KS0074,CHAPMAN PUBLIC LIBRARY,Rural,"1,377",1,0,0
KS0075,BLUE RAPIDS PUBLIC LIBRARY,Rural,921,1,0,0
KS0076,WASHINGTON PUBLIC LIBRARY,Rural,"1,065",1,0,0
KS0077,HARTFORD/ELMENDARO TOWNSHIP,Rural,867,1,0,0
KS0078,AMERICUS TOWNSHIP LIBRARY,Rural,"1,600",1,0,0
KS0079,PEABODY TOWNSHIP LIBRARY,Rural,"1,121",1,0,0
KS0080,MARION CITY LIBRARY,Rural,"1,902",1,0,0
KS0081,COUNCIL GROVE PUBLIC LIBRARY,Rural,"2,111",1,0,0
KS0082,HILLSBORO PUBLIC LIBRARY,Town,"2,740",1,0,0
KS0083,HERINGTON PUBLIC LIBRARY,Rural,"2,110",1,0,0
KS0084,WAMEGO PUBLIC LIBRARY,Town,"4,858",1,0,0
KS0085,MARYSVILLE PUBLIC LIBRARY,Town,"3,417",1,0,0
KS0086,CLAY CENTER CARNEGIE LIBRARY,Town,"4,138",1,0,0
KS0087,ABILENE PUBLIC LIBRARY,Town,"6,468",1,0,0
KS0088,POTTAWATOMIE WABAUNSEE REGIONAL LIBRARY,Town,"27,896",1,7,0
KS0089,DOROTHY BRAMLAGE PUBLIC LIBRARY,Town,"35,934",1,0,0
KS0090,EMPORIA PUBLIC LIBRARY,Town,"28,485",1,0,1
KS0091,MANHATTAN PUBLIC LIBRARY,City,"54,763",1,0,0
KS0092,CORNING CITY LIBRARY,Rural,213,1,0,0
KS0093,WETMORE PUBLIC LIBRARY,Rural,348,1,0,0
KS0094,RICHMOND PUBLIC LIBRARY,Rural,442,1,0,0
KS0096,CENTRALIA COMMUNITY LIBRARY,Rural,486,1,0,0
KS0097,WINCHESTER PUBLIC LIBRARY,Rural,"1,073",1,0,0
KS0098,BARNES READING ROOM,Rural,470,1,0,0
KS0099,EFFINGHAM COMMUNITY LIBRARY,Rural,500,1,0,0
KS0100,MERIDEN-OZAWKIE PUBLIC LIBRARY,Rural,"4,450",1,0,0
KS0101,OVERBROOK PUBLIC LIBRARY,Rural,999,1,0,0
KS0102,NORTONVILLE PUBLIC LIBRARY,Rural,856,1,0,0
KS0103,BURLINGAME COMMUNITY LIBRARY,Rural,966,1,0,0
KS0104,WELLSVILLE CITY LIBRARY,Rural,"1,933",1,0,0
KS0105,CARBONDALE CITY LIBRARY,Rural,"1,344",1,0,0
KS0106,LYNDON CARNEGIE LIBRARY,Rural,"1,516",1,0,0
KS0107,ROSSVILLE COMMUNITY LIBRARY,Rural,"1,894",1,0,0
KS0108,HORTON PUBLIC LIBRARY,Rural,"1,514",1,0,0
KS0109,LINWOOD COMMUNITY LIBRARY DISTRICT #1,Rural,"4,209",1,0,0
KS0110,OSKALOOSA PUBLIC LIBRARY,Rural,"2,158",1,0,0
KS0111,SILVER LAKE LIBRARY,Rural,"1,910",1,0,0
KS0112,DELAWARE TOWNSHIP LIBRARY,Rural,"1,812",1,0,0
KS0113,TONGANOXIE PUBLIC LIBRARY,Town,"5,702",1,0,0
KS0114,MARY COTTON PUBLIC LIBRARY,Town,"2,519",1,0,0
KS0115,SENECA FREE LIBRARY,Rural,"2,130",1,0,0
KS0116,OSAGE CITY PUBLIC LIBRARY,Town,"2,846",1,0,0
KS0117,BALDWIN CITY LIBRARY,Town,"4,882",1,0,0
KS0119,"BASEHOR COMMUNITY LIBRARY, DIST #2, LV. CO.",Town,"12,209",1,0,0
KS0120,HIAWATHA/MORRILL PUBLIC LIBRARY,Town,"3,246",1,0,0
KS0121,EUDORA COMMUNITY LIBRARY,Town,"7,784",1,0,0
KS0122,PAOLA FREE LIBRARY,Town,"5,786",1,0,0
KS0123,OSAWATOMIE PUBLIC LIBRARY,Town,"4,280",1,0,0
KS0124,LINN COUNTY LIBRARY DISTRICT #1,Rural,"2,210",1,0,0
KS0125,BONNER SPRINGS CITY LIBRARY,Suburban,"7,805",1,0,0
KS0126,LYON COUNTY LIBRARY DIST. #1,Rural,"1,046",1,0,0
KS0127,OTTAWA LIBRARY,Town,"12,604",1,0,0
KS0128,ATCHISON LIBRARY,Town,"10,694",1,0,0
KS0129,LEAVENWORTH PUBLIC LIBRARY,Town,"37,176",1,0,0
KS0130,OLATHE PUBLIC LIBRARY,Suburban,"143,014",1,1,0
KS0131,LAWRENCE PUBLIC LIBRARY,City,"95,256",1,0,2
KS0132,TOPEKA AND SHAWNEE COUNTY PUBLIC LIBRARY,City,"174,460",1,0,4
KS0133,"KANSAS CITY, KANSAS PUBLIC LIBRARY",City,"159,248",0,5,2
KS0134,JOHNSON COUNTY LIBRARY,City,"470,205",1,13,0
KS0136,GOVE CITY LIBRARY,Rural,83,1,0,0
KS0137,JENNINGS CITY LIBRARY,Rural,80,1,0,0
KS0138,NORCATUR PUBLIC LIBRARY,Rural,159,1,0,0
KS0140,MOORE FAMILY LIBRARY,Rural,257,1,0,0
KS0141,GRAINFIELD CITY LIBRARY,Rural,321,1,0,0
KS0142,LENORA PUBLIC LIBRARY,Rural,206,1,0,0
KS0143,BIRD CITY PUBLIC LIBRARY,Rural,437,1,0,0
KS0144,ALMENA CITY LIBRARY,Rural,366,1,0,0
KS0145,JAY JOHNSON PUBLIC LIBRARY,Rural,958,1,0,0
KS0146,SHARON SPRINGS PUBLIC LIBRARY,Rural,744,1,0,0
KS0147,ST. FRANCIS PUBLIC LIBRARY,Rural,"1,287",1,0,0
KS0148,OAKLEY PUBLIC LIBRARY,Rural,"2,022",1,0,0
KS0149,OBERLIN CITY LIBRARY,Rural,"1,639",1,0,0
KS0150,NORTON PUBLIC LIBRARY,Town,"2,758",1,0,0
KS0151,SHERIDAN COUNTY PUBLIC LIBRARY,Rural,"2,289",1,0,0
KS0152,ATWOOD PUBLIC LIBRARY,Rural,"2,549",1,0,0
KS0153,GRAHAM COUNTY PUBLIC LIBRARY,Rural,"2,400",1,0,0
KS0154,WAKEENEY PUBLIC LIBRARY,Rural,"1,790",1,0,0
KS0155,GOODLAND PUBLIC LIBRARY,Town,"4,450",1,0,0
KS0156,COLBY/PIONEER MEMORIAL LIBRARY,Town,"5,516",1,0,0
KS0157,ZENDA PUBLIC LIBRARY,Rural,136,1,0,0
KS0158,PARTRIDGE PUBLIC LIBRARY,Rural,209,1,0,0
KS0159,WALTON COMMUNITY LIBRARY,Rural,217,1,0,0
KS0160,SYLVIA PUBLIC LIBRARY,Rural,210,1,0,0
KS0161,HARDTNER PUBLIC LIBRARY,Rural,164,1,0,0
KS0162,GENESEO PUBLIC LIBRARY,Rural,231,1,0,0
KS0163,VIOLA TOWNSHIP,Rural,522,1,0,0
KS0164,NORWICH PUBLIC,Rural,433,1,0,0
KS0165,LITTLE RIVER COMMUNITY LIBRARY,Rural,671,1,0,0
KS0166,TURON COMMUNITY LIBRARY,Rural,304,1,0,0
KS0167,FARMER TOWNSHIP/CPMS LIBRARY,Rural,295,1,0,0
KS0168,CUNNINGHAM PUBLIC LIBRARY,Rural,462,1,0,0
KS0169,ARLINGTON CITY LIBRARY,Rural,431,1,0,0
KS0170,MACKSVILLE CITY LIBRARY,Rural,471,1,0,0
KS0171,PRETTY PRAIRIE PUBLIC LIBRARY,Rural,655,1,0,0
KS0172,POTWIN PUBLIC LIBRARY,Rural,595,1,0,0
KS0173,LEON PUBLIC LIBRARY,Rural,667,1,0,0
KS0174,WHITEWATER MEMORIAL LIBRARY,Rural,666,1,0,0
KS0175,SOUTH HAVEN TOWNSHIP LIBRARY,Rural,490,1,0,0
KS0176,ATTICA CITY LIBRARY,Rural,506,1,0,0
KS0177,DIXON TOWNSHIP LIBRARY,Rural,600,1,0,0
KS0178,MARQUETTE COMMUNITY LIBRARY,Rural,731,1,0,0
KS0179,UDALL PUBLIC LIBRARY,Rural,658,1,0,0
KS0180,RUTH DOLE MEMORIAL LIBRARY,Rural,854,1,0,0
KS0181,INMAN PUBLIC LIBRARY,Rural,"1,316",1,0,0
KS0182,MT. HOPE PUBLIC LIBRARY,Rural,998,1,0,0
KS0183,OXFORD PUBLIC LIBRARY,Rural,"1,048",1,0,0
KS0184,HAVEN PUBLIC LIBRARY,Rural,"1,149",1,0,0
KS0185,CANTON TOWNSHIP,Rural,967,1,0,0
KS0186,BUHLER PUBLIC LIBRARY,Rural,"1,315",1,0,0
KS0187,NICKERSON PUBLIC LIBRARY,Rural,"1,050",1,0,0
KS0188,NORA E. LARABEE MEMORIAL LIBRARY,Rural,936,1,0,0
KS0189,CALDWELL PUBLIC LIBRARY,Rural,"1,019",1,0,0
KS0190,KIOWA PUBLIC LIBRARY,Rural,869,1,0,0
KS0191,CONWAY SPRINGS CITY LIBRARY,Rural,"1,106",1,0,0
KS0192,TOWANDA PUBLIC LIBRARY,Rural,"1,445",1,0,0
KS0193,MOUNDRIDGE PUBLIC LIBRARY,Rural,"1,958",1,0,0
KS0194,SEDGWICK/LILLIAN TEAR,Rural,"1,598",1,0,0
KS0195,IDA LONG GOODMAN MEMORIAL LIBRARY,Rural,"1,197",1,0,0
KS0196,CHENEY PUBLIC LIBRARY,Rural,"2,786",1,0,0
KS0197,HARPER PUBLIC LIBRARY,Rural,"1,273",1,0,0
KS0198,CLEARWATER PUBLIC LIBRARY,Rural,"2,626",1,0,0
KS0199,COLWICH COMMUNITY LIBRARY,Rural,"2,474",1,0,0
KS0200,BELLE PLAINE PUBLIC LIBRARY,Rural,"1,468",1,0,0
KS0201,GODDARD PUBLIC LIBRARY,Suburban,"5,372",1,0,0
KS0202,HALSTEAD PUBLIC LIBRARY,Rural,"2,165",1,0,0
KS0203,STERLING FREE PUBLIC LIBRARY,Rural,"2,318",1,0,0
KS0204,DOUGLASS PUBLIC LIBRARY,Rural,"2,314",1,0,0
KS0205,ANTHONY PUBLIC LIBRARY,Rural,"2,043",1,0,0
KS0206,LINCOLN LIBRARY,Rural,"1,723",1,0,0
KS0207,HESSTON PUBLIC LIBRARY,Town,"3,495",1,0,0
KS0208,LINDSBORG COMMUNITY LIBRARY,Town,"3,496",1,0,0
KS0209,KINGMAN CARNEGIE LIBRARY,Town,"3,062",1,0,0
KS0210,ANDOVER PUBLIC LIBRARY,Rural,"15,435",1,0,0
KS0211,LYONS PUBLIC LIBRARY,Town,"3,556",1,0,0
KS0212,KIOWA COUNTY LIBRARY,Rural,"2,392",1,2,0
KS0213,VALLEY CENTER PUBLIC LIBRARY,Suburban,"7,419",1,0,0
KS0214,MULVANE PUBLIC LIBRARY,Suburban,"6,587",1,0,0
KS0215,AUGUSTA PUBLIC LIBRARY,Town,"9,267",1,0,0
KS0216,WELLINGTON PUBLIC,Town,"7,664",1,0,0
KS0217,HAYSVILLE COMMUNITY LIBRARY,Suburban,"11,315",1,0,0
KS0218,PRATT PUBLIC LIBRARY,Town,"9,181",1,0,0
KS0219,BRADFORD MEMORIAL LIBRARY,Town,"12,810",1,0,0
KS0220,WINFIELD PUBLIC LIBRARY,Town,"11,726",1,0,0
KS0221,MCPHERSON PUBLIC LIBRARY,Town,"13,944",1,0,0
KS0222,DERBY PUBLIC LIBRARY,Suburban,"25,847",1,0,0
KS0223,ARKANSAS CITY PUBLIC LIBRARY,Town,"11,929",1,0,0
KS0224,NEWTON PUBLIC LIBRARY,Town,"18,433",1,0,0
KS0225,HUTCHINSON PUBLIC LIBRARY,Town,"39,712",1,0,0
KS0226,WICHITA PUBLIC LIBRARY,City,"395,699",1,6,0
KS0227,SAVONBURG PUBLIC LIBRARY,Rural,75,1,0,0
KS0228,HEPLER CITY LIBRARY,Rural,89,1,0,0
KS0230,FALL RIVER PUBLIC LIBRARY,Rural,129,1,0,0
KS0231,PRESCOTT CITY LIBRARY,Rural,456,1,0,0
KS0232,WALNUT PUBLIC LIBRARY,Rural,189,1,0,0
KS0233,MOUND VALLEY LIBRARY,Rural,348,1,0,0
KS0234,HAMILTON CITY LIBRARY,Rural,180,1,0,0
KS0235,GRENOLA PUBLIC LIBRARY,Rural,148,1,0,0
KS0236,BRONSON PUBLIC LIBRARY,Rural,305,1,0,0
KS0237,TORONTO PUBLIC LIBRARY,Rural,203,1,0,0
KS0238,COLONY CITY LIBRARY,Rural,377,1,0,0
KS0239,EDNA PUBLIC LIBRARY,Rural,383,1,0,0
KS0240,MCCUNE OSAGE TOWNSHIP LIBRARY,Rural,710,1,0,0
KS0241,ALTOONA PUBLIC LIBRARY,Rural,349,1,0,0
KS0242,MOLINE PUBLIC LIBRARY,Rural,331,1,0,0
KS0243,THAYER FRIDAY READING CLUB CITY LIBRARY,Rural,433,1,0,0
KS0244,MORAN PUBLIC LIBRARY,Rural,467,1,0,0
KS0245,LINN COUNTY LIBRARY DIST #3,Rural,434,1,0,0
KS0246,MOUND CITY/LINN COUNTY DIST. #4,Rural,"2,030",1,0,0
KS0247,CEDAR VALE MEMORIAL LIBRARY,Rural,475,1,0,0
KS0248,HOWARD CITY LIBRARY,Rural,583,1,0,0
KS0249,WEIR PUBLIC LIBRARY,Rural,566,1,0,0
KS0250,MADISON PUBLIC LIBRARY,Rural,682,1,0,0
KS0251,GRAVES MEMORIAL PUBLIC LIBRARY,Rural,882,1,0,0
KS0252,ALTAMONT PUBLIC LIBRARY,Rural,"1,044",1,0,0
KS0253,LINN COUNTY LIBRARY DISTRICT #5,Rural,"1,916",1,0,0
KS0254,SEDAN PUBLIC LIBRARY,Rural,"1,005",1,0,0
KS0255,ERIE CITY PUBLIC LIBRARY,Rural,"1,037",1,0,0
KS0256,"LIBRARY DISTRICT #2 , LINN COUNTY",Rural,"2,597",1,0,0
KS0257,CHETOPA CITY LIBRARY,Rural,921,1,0,0
KS0258,"LIBRARY DISTRICT #1, DONIPHAN COUNTY",Rural,"6,946",1,3,0
KS0259,YATES CENTER PUBLIC LIBRARY,Rural,"1,335",1,0,0
KS0260,OSWEGO PUBLIC,Rural,"1,658",1,0,0
KS0261,HUMBOLDT PUBLIC LIBRARY,Rural,"1,836",1,0,0
KS0262,CANEY CITY LIBRARY,Rural,"1,756",1,0,0
KS0263,CHERRYVALE PUBLIC LIBRARY,Rural,"2,159",1,0,0
KS0264,FREDONIA PUBLIC LIBRARY,Rural,"2,111",1,0,0
KS0265,GIRARD PUBLIC LIBRARY,Town,"2,497",1,0,0
KS0266,GARNETT PUBLIC LIBRARY,Town,"3,192",1,0,0
KS0267,EUREKA PUBLIC LIBRARY,Town,"2,289",1,0,0
KS0268,NEODESHA/W.A. RANKIN MEMORIAL,Town,"2,246",1,0,0
KS0269,COLUMBUS PUBLIC LIBRARY,Town,"2,882",1,0,0
KS0270,GALENA PUBLIC LIBRARY,Town,"2,743",1,0,0
KS0271,JOHNSTON PUBLIC LIBRARY,Town,"3,852",1,0,0
KS0272,IOLA PUBLIC LIBRARY,Town,"5,343",1,0,0
KS0273,FORT SCOTT PUBLIC LIBRARY,Town,"7,513",1,0,0
KS0274,COFFEY COUNTY LIBRARY,Town,"8,338",1,5,0
KS0275,CHANUTE PUBLIC LIBRARY,Town,"8,642",1,0,0
KS0276,INDEPENDENCE PUBLIC LIBRARY,Town,"12,233",1,0,0
KS0277,PARSONS PUBLIC LIBRARY,Town,"9,479",1,0,0
KS0278,COFFEYVILLE PUBLIC LIBRARY,Town,"8,847",1,0,0
KS0279,PITTSBURG PUBLIC LIBRARY,Town,"20,738",1,0,1
KS0283,HANSTON CITY LIBRARY,Rural,260,1,0,0
KS0285,COPELAND PUBLIC LIBRARY,Rural,251,1,0,0
KS0286,KISMET PUBLIC LIBRARY,Rural,"2,174",1,0,0
KS0287,RANSOM PUBLIC LIBRARY,Rural,253,1,0,0
KS0288,FOWLER PUBLIC LIBRARY,Rural,532,1,0,0
KS0289,SPEARVILLE TOWNSHIP LIBRARY,Rural,"1,144",1,0,0
KS0290,MEADOWLARK LIBRARY/LEWIS,Rural,475,1,0,0
