FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Internet Computers,Computer Uses,Wireless Sessions
AK0117,HYDER PUBLIC LIBRARY,Rural,,48,,25,
AK0117,HYDER PUBLIC LIBRARY,Rural,Data Note: Missing,48,-1,,-1
AK0120,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,Rural,,100,4,322,45
AK0121,BLACKWELL COMMUNITY/SCHOOL LIBRARY,Rural,,70,5,403,0
AK0122,DAVID LOUIS COMMUNITY/SCHOOL LIBRARY,Rural,,210,4,322,45
AK0124,LAKE MINCHUMINA COMMUNITY LIBRARY,Rural,,30,3,450,600
AK0126,IGIUGIG TRIBAL LIBRARY,Rural,,68,4,161,"1,100"
AK0127,COFFMAN COVE COMMUNITY LIBRARY,Rural,,127,2,342,"1,199"
AK0130,THORNE BAY PUBLIC LIBRARY,Rural,,476,,251,
AK0130,THORNE BAY PUBLIC LIBRARY,Rural,Data Note: Missing,476,-1,,-1
AK0134,WHALE PASS COMMUNITY LIBRARY,Rural,,86,,45,
AK0134,WHALE PASS COMMUNITY LIBRARY,Rural,Data Note: Missing,86,-1,,-1
AK0137,KLUKWAN COMMUNITY/SCHOOL LIBRARY,Rural,,87,2,161,0
AK0139,SAMUEL B. FOSS LIBRARY,Rural,,43,2,161,500
AK0140,EDNA BAY COMMUNITY LIBRARY,Rural,,25,2,100,450
AL0001,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,Town,,"63,652",0,0,0
AL0002,ARLEY PUBLIC LIBRARY,Rural,,340,4,408,"2,106"
AL0005,DOUBLE SPRINGS PUBLIC LIBRARY,Rural,,"1,062",3,674,424
AL0006,HALEYVILLE PUBLIC LIBRARY,Town,,"4,104",4,499,"1,270"
AL0007,JASPER PUBLIC LIBRARY,Town,,"13,278",9,"2,550",810
AL0009,SUMITON PUBLIC LIBRARY,Town,,"2,330",4,517,62
AL0010,CHEAHA REGIONAL LIBRARY,Rural,,"99,877",7,175,65
AL0011,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,Town,,"5,940",10,"11,721","9,000"
AL0012,ASHLAND CITY PUBLIC LIBRARY,Rural,,"1,872",9,"1,642","1,132"
AL0013,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,Town,,"11,939",32,"7,358","14,481"
AL0014,CHEROKEE COUNTY PUBLIC LIBRARY,Town,,"3,528",46,"8,800","2,980"
AL0015,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,Town,,"4,781",18,"1,938",750
AL0016,LINCOLN PUBLIC LIBRARY,Rural,,"6,979",18,"2,641",0
AL0017,LINEVILLE PUBLIC LIBRARY,Rural,,"2,221",3,500,250
AL0018,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,Rural,,"3,408",9,682,75
AL0019,OXFORD PUBLIC LIBRARY,City,,"21,216",24,"4,507",
AL0019,OXFORD PUBLIC LIBRARY,City,Data Note: Missing,"21,216",,,-1
AL0020,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,Town,,"15,300",29,"3,208","1,200"
AL0022,ABBEVILLE MEMORIAL LIBRARY,Rural,,"7,514",26,"2,245",286
AL0024,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,Town,,"9,709",22,690,"5,253"
AL0025,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,Rural,,"5,983",12,987,"3,827"
AL0026,OZARK - DALE COUNTY PUBLIC LIBRARY,Town,,"36,876",46,"13,233",
AL0026,OZARK - DALE COUNTY PUBLIC LIBRARY,Town,Data Note: Missing,"36,876",,,-1
AL0029,CLIO - ELTON B. STEPHENS LIBRARY,Rural,,"3,372",2,35,0
