FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Internet Computers,Computer Uses,Wireless Sessions
FL0016,RICHARD C. SULLIVAN PUBLIC LIBRARY OF WILTON MANORS,Suburban,Data Note: Missing,"11,560",,,-1
FL0018,CITRUS COUNTY LIBRARY SYSTEM,Suburban,,"155,615",140,"52,946","46,817"
FL0019,CLAY COUNTY PUBLIC LIBRARY SYSTEM,Suburban,,"221,440",97,"26,827","108,409"
FL0020,COLLIER COUNTY PUBLIC LIBRARY,Suburban,,"382,680",140,"1,753,923","93,823"
FL0021,COLUMBIA COUNTY PUBLIC LIBRARY,Town,,"69,809",41,"16,212",
FL0021,COLUMBIA COUNTY PUBLIC LIBRARY,Town,Data Note: Missing,"69,809",,,-1
FL0022,BROCKWAY MEMORIAL LIBRARY,Suburban,,"11,548",,"4,460",
FL0022,BROCKWAY MEMORIAL LIBRARY,Suburban,Data Note: Missing,"11,548",-1,,-1
FL0023,HIALEAH PUBLIC LIBRARIES,Suburban,,"225,493",224,"11,617","10,395"
FL0024,NORTH MIAMI BEACH PUBLIC LIBRARY,Suburban,,"43,749",33,"49,444","3,998"
FL0025,MIAMI-DADE PUBLIC LIBRARY SYSTEM,City,,"2,376,322","3,790","504,219","355,605"
FL0028,FLAGLER BEACH PUBLIC LIBRARY,Suburban,,"5,133",,"2,548",
FL0028,FLAGLER BEACH PUBLIC LIBRARY,Suburban,Data Note: Missing,"5,133",-1,,-1
FL0029,FLAGLER COUNTY PUBLIC LIBRARY,Suburban,,"119,662",44,"13,775","37,985"
FL0030,GADSDEN COUNTY PUBLIC LIBRARY,Rural,,"43,813",83,"15,563",
FL0030,GADSDEN COUNTY PUBLIC LIBRARY,Rural,Data Note: Missing,"43,813",,,-1
FL0032,HENDRY COUNTY LIBRARY SYSTEM,Town,,"40,540",44,"10,032","2,552"
FL0035,HILLSBOROUGH COUNTY PUBLIC LIBRARY COOPERATIVE,City,,"1,490,374","1,223","271,763","3,872,647"
FL0036,INDIAN RIVER COUNTY LIBRARY,City,,"161,702",136,"34,748",
FL0036,INDIAN RIVER COUNTY LIBRARY,City,Data Note: Missing,"161,702",,,-1
FL0039,LAKE COUNTY LIBRARY SYSTEM,Suburban,,"401,523",345,"69,774","92,614"
FL0041,FORT MYERS BEACH PUBLIC LIBRARY,Suburban,,"42,797",8,"3,696",
FL0041,FORT MYERS BEACH PUBLIC LIBRARY,Suburban,Data Note: Missing,"42,797",,,-1
FL0042,LEE COUNTY LIBRARY SYSTEM,City,,"782,579",588,"153,267","227,636"
FL0043,SANIBEL PUBLIC LIBRARY,Rural,,"6,443",33,"7,610","18,915"
FL0044,LEROY COLLINS LEON COUNTY PUBLIC LIBRARY SYST,City,,"295,921",125,"216,016","66,835"
FL0046,MANATEE COUNTY PUBLIC LIBRARY SYSTEM,City,,"411,209",65,"55,109","576,057"
FL0047,MARTIN COUNTY LIBRARY SYSTEM,Suburban,,"159,053",295,"49,358","657,795"
FL0048,MONROE COUNTY PUBLIC LIBRARY SYSTEM,Town,,"83,411",120,"28,146","23,920"
FL0053,MAITLAND PUBLIC LIBRARY,Suburban,,"19,545",11,"4,395",
FL0053,MAITLAND PUBLIC LIBRARY,Suburban,Data Note: Missing,"19,545",,,-1
FL0054,WINTER PARK PUBLIC LIBRARY,Suburban,,"30,019",68,"6,587","70,367"
FL0056,BOCA RATON PUBLIC LIBRARY,City,,"98,046",70,"14,949","129,194"
FL0058,NORTH PALM BEACH PUBLIC LIBRARY,Suburban,,"13,167",12,"4,905",
FL0058,NORTH PALM BEACH PUBLIC LIBRARY,Suburban,Data Note: Missing,"13,167",,,-1
FL0064,NEW PORT RICHEY PUBLIC LIBRARY,Suburban,,"16,812",109,"6,839",
FL0064,NEW PORT RICHEY PUBLIC LIBRARY,Suburban,Data Note: Missing,"16,812",,,-1
FL0065,PASCO COUNTY PUBLIC LIBRARY COOPERATIVE,Suburban,,"576,867",209,"49,502",
FL0065,PASCO COUNTY PUBLIC LIBRARY COOPERATIVE,Suburban,Data Note: Missing,"576,867",,,-1
FL0091,ST. JOHNS COUNTY PUBLIC LIBRARY SYSTEM,Rural,,"285,533",122,"42,431",
FL0091,ST. JOHNS COUNTY PUBLIC LIBRARY SYSTEM,Rural,Data Note: Missing,"285,533",,,-1
FL0092,ST. LUCIE COUNTY LIBRARY SYSTEM,Suburban,,"340,060",189,"45,748","33,050"
FL0093,SARASOTA COUNTY PUBLIC LIBRARIES,City,,"441,508",392,"91,508","166,628"
FL0094,ALTAMONTE SPRINGS CITY LIBRARY,Suburban,,"46,735",21,"5,671","5,460"
FL0095,SEMINOLE COUNTY PUBLIC LIBRARY SYSTEM,Suburban,,"477,455",53,"44,562","203,962"
FL0099,VOLUSIA COUNTY PUBLIC LIBRARY,Rural,,"563,358",288,"127,198","670,493"
FL0101,WALTON COUNTY PUBLIC LIBRARY SYSTEM,Town,,"77,941",41,"19,151","15,959"
FL0103,NORTH MIAMI PUBLIC LIBRARY,Suburban,,"60,175",44,"7,000",
FL0103,NORTH MIAMI PUBLIC LIBRARY,Suburban,Data Note: Missing,"60,175",,,-1
FL0106,HERNANDO COUNTY PUBLIC LIBRARY SYSTEM,Suburban,,"196,540",104,"33,705","73,609"
FL0109,OSCEOLA LIBRARY SYSTEM,City,,"406,460",230,"130,690","1,801,825"
FL0118,CITRUS SPRINGS MEMORIAL LIBRARY,Suburban,,"10,246",,"3,957",
FL0118,CITRUS SPRINGS MEMORIAL LIBRARY,Suburban,Data Note: Missing,"10,246",-1,,-1
FL0127,PINELLAS PUBLIC LIBRARY COOPERATIVE,City,,"960,794",806,"283,257","1,080,196"
FL0133,HIGHLAND BEACH LIBRARY,Suburban,,"4,300",,"2,134",
FL0133,HIGHLAND BEACH LIBRARY,Suburban,Data Note: Missing,"4,300",-1,,-1
FL0135,WILDERNESS COAST PUBLIC LIBRARIES,Rural,,"61,265",70,"3,267","2,238"
FL0136,PANHANDLE PUBLIC LIBRARY COOPERATIVE SYSTEM,Town,,"80,546",181,"8,000","2,880"
FL0146,SUMTER COUNTY LIBRARY SYSTEM,Rural,,"134,593",83,"22,015","30,296"
FL0147,THREE RIVERS REGIONAL LIBRARY SYSTEM,Rural,,"63,824",50,"15,311","19,443"
FL0149,NEW RIVER PUBLIC LIBRARY COOPERATIVE,Town,,"72,446",66,"12,713","50,496"
FL0150,HEARTLAND LIBRARY COOPERATIVE,City,,"212,643",98,"27,316","20,377"
FL0240,PARKLAND LIBRARY,Suburban,,"35,440",8,"1,745",
FL0240,PARKLAND LIBRARY,Suburban,Data Note: Missing,"35,440",,,-1
FL0246,PALM BEACH COUNTY LIBRARY SYSTEM,Suburban,,"980,671","1,240","309,799","121,736"
FL0247,BOYNTON BEACH CITY LIBRARY,City,,"81,011",80,"21,260","62,594"
FL0248,DELRAY BEACH LIBRARY,City,,"66,948",147,"34,077","35,901"
FL0249,LAKE PARK PUBLIC LIBRARY,Suburban,,"9,039",24,"2,538",
FL0249,LAKE PARK PUBLIC LIBRARY,Suburban,Data Note: Missing,"9,039",,,-1
FL0250,LAKE WORTH BEACH PUBLIC LIBRARY,Suburban,,"42,572",18,"3,270","4,480"
FL0251,LANTANA PUBLIC LIBRARY,Suburban,,"11,579",17,"3,101","2,909"
FL0252,PALM SPRINGS PUBLIC LIBRARY,Suburban,,"26,904",24,"6,240","2,127"
FL0253,RIVIERA BEACH PUBLIC LIBRARY,Suburban,,"38,125",15,"3,420",
FL0253,RIVIERA BEACH PUBLIC LIBRARY,Suburban,Data Note: Missing,"38,125",,,-1
FL0254,MANDEL PUBLIC LIBRARY OF WEST PALM BEACH,City,,"119,255",216,"95,479","61,372"
FL0255,SANTA ROSA COUNTY LIBRARY SYSTEM,Suburban,,"191,911",83,"19,950","6,447"
FL0256,INDIAN ROCKS BEACH LIBRARY,Suburban,,"3,696",,"1,834",
FL0256,INDIAN ROCKS BEACH LIBRARY,Suburban,Data Note: Missing,"3,696",-1,,-1
FL0257,HELEN B. HOFFMAN PLANTATION LIBRARY,Suburban,,"92,628",6,886,
FL0257,HELEN B. HOFFMAN PLANTATION LIBRARY,Suburban,Data Note: Missing,"92,628",,,-1
FL0258,CHARLOTTE COUNTY PUBLIC LIBRARY,Suburban,,"190,570",102,"18,301",
FL0258,CHARLOTTE COUNTY PUBLIC LIBRARY,Suburban,Data Note: Missing,"190,570",,,-1
FL0259,PAL PUBLIC LIBRARY COOPERATIVE,Rural,,"401,857",377,"116,324","153,765"
FL8001,POLK COUNTY LIBRARY COOPERATIVE,Suburban,,"748,365",240,"126,459","113,523"
FL8002,APALACHICOLA MARGARET KEY LIBRARY,Town,,"2,370",,"1,176",
FL8002,APALACHICOLA MARGARET KEY LIBRARY,Town,Data Note: Missing,"2,370",-1,,-1
FL8003,OKALOOSA COUNTY PUBLIC LIBRARY COOPERATIVE,Suburban,,"214,497",124,"30,594","11,070"
FL8005,NASSAU COUNTY PUBLIC LIBRARY SYSTEM,Town,,"93,012",66,"7,398","3,235"
FL8009,WASHINGTON COUNTY PUBLIC LIBRARY,Town,,"24,995",15,"1,765","1,353"
FL8010,HOMESTEAD CYBRARIUM,Suburban,,"83,012",37,"12,410","44,158"
GA0001,PIEDMONT REGIONAL LIBRARY SYSTEM,Town,,"187,993",253,"69,174","57,291"
GA0002,BARTOW COUNTY LIBRARY SYSTEM,Suburban,,"111,431",53,"12,724","19,789"
GA0004,MIDDLE GEORGIA REGIONAL LIBRARY SYSTEM,City,,"269,108",312,"52,593","110,136"
GA0005,BROOKS COUNTY PUBLIC LIBRARY,Town,,"15,471",23,"4,800","7,000"
GA0006,STATESBORO REGIONAL PUBLIC LIBRARIES,Town,,"169,159",288,"34,254","42,194"
GA0007,WEST GEORGIA REGIONAL LIBRARY,Town,,"499,056",345,"60,788","258,110"
GA0008,LIVE OAK PUBLIC LIBRARIES,City,,"427,095",480,"104,359","451,122"
GA0010,SEQUOYAH REGIONAL LIBRARY SYSTEM,Suburban,,"338,512",165,"93,506","129,699"
GA0011,ATHENS REGIONAL LIBRARY SYSTEM,City,,"243,483",305,"53,929","91,898"
GA0012,CLAYTON COUNTY LIBRARY SYSTEM,Suburban,,"299,405",240,"44,662","488,516"
GA0013,COBB COUNTY PUBLIC LIBRARY SYSTEM,City,,"779,374",577,"788,769","104,657"
GA0014,SATILLA REGIONAL LIBRARY SYSTEM,Town,,"52,061",50,"4,543","5,458"
GA0015,MOULTRIE-COLQUITT COUNTY LIBRARY SYSTEM,Town,,"46,004",43,"6,816","78,889"
GA0016,SOUTHWEST GEORGIA REGIONAL LIBRARY SYSTEM,Town,,"40,366",45,"6,400","122,861"
GA0017,DEKALB COUNTY PUBLIC LIBRARY,Suburban,,"776,792",618,"203,334","249,623"
GA0018,OCMULGEE REGIONAL LIBRARY SYSTEM,Town,,"76,538",136,"8,731","64,348"
GA0019,DOUGHERTY COUNTY PUBLIC LIBRARY,City,,"85,570",109,"25,088",
GA0019,DOUGHERTY COUNTY PUBLIC LIBRARY,City,Data Note: Missing,"85,570",,,-1
GA0020,ELBERT COUNTY PUBLIC LIBRARY SYSTEM,Town,,"19,405",39,"3,635","6,618"
GA0021,SARA HIGHTOWER REGIONAL LIBRARY SYSTEM,City,,"167,228",151,"17,926","18,019"
GA0022,FULTON COUNTY LIBRARY SYSTEM,City,,"1,105,574","1,625","393,362",
GA0022,FULTON COUNTY LIBRARY SYSTEM,City,Data Note: Missing,"1,105,574",,,-1
GA0023,THREE RIVERS REGIONAL LIBRARY SYSTEM,Town,,"154,183",201,"28,939",
GA0023,THREE RIVERS REGIONAL LIBRARY SYSTEM,Town,Data Note: Missing,"154,183",,,-1
GA0024,RODDENBERY MEMORIAL LIBRARY,Town,,"24,637",26,"5,177","32,627"
GA0025,GWINNETT COUNTY PUBLIC LIBRARY SYSTEM,Suburban,,"966,057",481,"336,451","887,729"
GA0026,NORTHEAST GEORGIA REGIONAL LIBRARY SYSTEM,Town,,"121,694",124,"28,181","266,764"
GA0027,CHESTATEE REGIONAL LIBRARY SYSTEM,Town,,"62,911",105,"7,369","6,599"
GA0028,HART COUNTY LIBRARY SYSTEM,Town,,"26,559",16,"1,345","2,353"
GA0029,HOUSTON COUNTY PUBLIC LIBRARY,Suburban,,"162,690",147,"34,700","5,183"
GA0030,JEFFERSON COUNTY LIBRARY SYSTEM,Town,,"15,269",49,"3,330","1,607"
GA0031,OCONEE REGIONAL LIBRARY SYSTEM,Town,,"87,629",120,"17,213","133,169"
GA0032,SOUTH GEORGIA REGIONAL LIBRARY,City,,"135,471",67,"28,738","67,364"
GA0033,PINE MOUNTAIN REGIONAL LIBRARY SYSTEM,Town,,"61,790",53,"8,671","68,463"
GA0034,DE SOTO TRAIL REGIONAL LIBRARY SYSTEM,Town,,"34,467",60,"21,098","79,145"
GA0035,AZALEA REGIONAL LIBRARY SYSTEM,Town,,"184,368",130,"27,448","11,772"
GA0036,CHATTAHOOCHEE VALLEY LIBRARIES,City,,"224,755",301,"73,857","39,524"
GA0037,NEWTON COUNTY LIBRARY SYSTEM,Suburban,,"117,080",105,"16,637","3,596"
GA0038,PEACH PUBLIC LIBRARIES,Town,,"28,242",47,"13,264",794
GA0039,AUGUSTA-RICHMOND COUNTY PUBLIC LIBRARY SYSTEM,City,,"203,888",249,"38,285","17,739"
GA0040,CONYERS-ROCKDALE LIBRARY SYSTEM,Suburban,,"91,945",35,"12,910","54,752"
GA0041,SCREVEN-JENKINS REGIONAL LIBRARY SYSTEM,Town,,"22,812",39,"5,853","4,021"
GA0042,FLINT RIVER REGIONAL LIBRARY SYSTEM,Suburban,,"279,902",299,"292,584","126,064"
GA0043,LAKE BLACKSHEAR REGIONAL LIBRARY SYSTEM,Town,,"69,258",119,"9,848","29,308"
GA0044,KINCHAFOONEE REGIONAL LIBRARY SYSTEM,Town,,"29,022",66,"7,996","107,617"
GA0045,THOMAS COUNTY PUBLIC LIBRARY SYSTEM,Town,,"44,417",84,"18,104","38,453"
GA0046,COASTAL PLAIN REGIONAL LIBRARY,Town,,"112,209",121,"48,021","188,612"
GA0047,MOUNTAIN REGIONAL LIBRARY SYSTEM,Rural,,"64,326",72,"12,848","41,922"
GA0048,TROUP-HARRIS REGIONAL LIBRARY,Town,,"107,834",69,"17,479","26,382"
GA0049,CHEROKEE REGIONAL LIBRARY SYSTEM,Town,,"86,920",158,"23,299","19,405"
GA0050,NORTHWEST GEORGIA REGIONAL LIBRARY SYSTEM,City,,"204,201",85,"7,897","56,861"
GA0051,BARTRAM TRAIL REGIONAL LIBRARY SYSTEM,Town,,"32,510",91,"7,567","31,242"
GA0052,OHOOPEE REGIONAL LIBRARY SYSTEM,Town,,"76,920",76,"11,105","9,002"
GA0053,OKEFENOKEE REGIONAL LIBRARY SYSTEM,Town,,"92,010",159,"23,688","48,575"
GA0054,HENRY COUNTY LIBRARY SYSTEM,Suburban,,"248,293",164,"21,208","37,014"
GA0056,LEE COUNTY PUBLIC LIBRARY,Rural,,"30,724",48,"10,330","26,561"
GA0058,FORSYTH COUNTY PUBLIC LIBRARY,Suburban,,"264,936",144,"36,445","203,188"
GA0060,HALL COUNTY LIBRARY SYSTEM,City,,"212,019",131,"66,810","33,713"
GA0063,COWETA COUNTY PUBLIC LIBRARY SYSTEM,Rural,,"155,642",92,"97,964","329,403"
GA0064,CATOOSA COUNTY LIBRARY,Suburban,,"68,888",52,"3,484","63,521"
GA0065,WORTH COUNTY LIBRARY SYSTEM,Town,,"20,051",24,"4,616","41,610"
GA0066,GREATER CLARKS HILL REGIONAL LIBRARY,Suburban,,"200,636",213,"26,983","36,206"
GA0067,MARSHES OF GLYNN LIBRARIES,City,,"86,030",50,"16,021","34,310"
GU0001,GUAM PUBLIC LIBRARY SYSTEM,Town,,"171,774",462,"2,776","1,478"
HI0001,HAWAII STATE PUBLIC LIBRARY SYSTEM,City,,"1,440,196",344,"158,099","120,880"
IA0002,OTTUMWA PUBLIC LIBRARY,Town,,"30,376",14,"6,590","8,906"
IA0003,AGENCY PUBLIC LIBRARY,Rural,,793,4,31,785
IA0004,CARNEGIE-EVANS PUBLIC LIBRARY,Town,,"7,576",4,728,"4,558"
IA0005,ALLERTON PUBLIC LIBRARY,Rural,,430,,381,
IA0005,ALLERTON PUBLIC LIBRARY,Rural,Data Note: Missing,430,-1,,-1
IA0006,BLOOMFIELD PUBLIC LIBRARY,Rural,,"9,110",8,562,"2,845"
IA0007,DRAKE PUBLIC LIBRARY,Town,,"9,666",10,"2,094","7,299"
IA0008,CHARITON FREE PUBLIC LIBRARY,Town,,"8,252",14,"2,592","2,748"
IA0009,KARL MILES LECOMPTE MEMORIAL LIBRARY,Rural,,"2,546",4,"1,216","2,424"
IA0010,MATILDA J. GIBSON MEMORIAL LIBRARY,Town,,"12,144",16,"1,591","20,687"
IA0011,ELDON PUBLIC LIBRARY,Rural,,"1,094",6,226,"1,559"
IA0012,FAIRFIELD PUBLIC LIBRARY,Town,,"15,233",16,"7,240","7,864"
IA0013,GARDEN GROVE PUBLIC LIBRARY,Rural,,174,3,20,30
IA0014,HEDRICK PUBLIC LIBRARY,Rural,,900,2,138,"2,270"
IA0015,HUMESTON PUBLIC LIBRARY,Rural,,704,5,117,"2,330"
IA0016,WILSON MEMORIAL LIBRARY,Rural,,"1,450",8,647,"1,597"
IA0017,LAMONI PUBLIC LIBRARY,Rural,,"3,796",11,"1,167","3,224"
IA0018,LEON PUBLIC LIBRARY,Rural,,"2,947",7,372,674
IA0019,MORAVIA PUBLIC LIBRARY,Rural,,"1,206",4,155,0
IA0020,GARRETT MEMORIAL LIBRARY,Rural,,687,4,98,142
IA0021,MOUNT AYR PUBLIC LIBRARY,Rural,,"3,770",,"1,772",
IA0021,MOUNT AYR PUBLIC LIBRARY,Rural,Data Note: Missing,"3,770",-1,,-1
IA0023,OSCEOLA PUBLIC LIBRARY,Town,,"8,918",8,"1,516","2,711"
IA0024,OSKALOOSA PUBLIC LIBRARY,Town,,"20,369",17,"5,599","14,261"
IA0025,RICHLAND PUBLIC LIBRARY,Rural,,"1,919",3,469,426
IA0026,SEYMOUR COMMUNITY LIBRARY,Rural,,"2,907",1,257,0
IA0027,DES MOINES PUBLIC LIBRARY,City,,"222,868",128,"61,397","26,927"
IA0028,ROY R. ESTLE MEMORIAL LIBRARY,Rural,,"2,555",6,570,0
IA0029,DEXTER PUBLIC LIBRARY,Rural,,"1,305",5,"1,040",0
IA0030,GRANGER PUBLIC LIBRARY,Rural,,"2,386",4,114,"3,855"
IA0031,LINDEN PUBLIC LIBRARY,Rural,,268,2,152,"1,178"
IA0032,MINBURN PUBLIC LIBRARY,Rural,,418,6,355,427
IA0033,PERRY PUBLIC LIBRARY,Town,,"9,326",22,"11,545","7,286"
IA0035,VAN METER PUBLIC LIBRARY,Rural,,"1,769",2,106,"1,029"
IA0036,WAUKEE PUBLIC LIBRARY,Suburban,,"24,676",7,"2,366","8,831"
IA0037,WOODWARD PUBLIC LIBRARY,Rural,,"1,709",4,485,"1,139"
IA0038,EARLHAM PUBLIC LIBRARY,Rural,,"1,962",14,902,"1,428"
IA0039,TRURO PUBLIC LIBRARY,Rural,,625,3,27,0
IA0040,WINTERSET PUBLIC LIBRARY,Town,,"12,824",12,"4,878","4,696"
IA0041,AMES PUBLIC LIBRARY,City,,"73,022",48,"24,890","148,490"
IA0042,CAMBRIDGE MEMORIAL LIBRARY,Town,,"1,727",2,99,0
IA0043,COLLINS PUBLIC LIBRARY,Rural,,570,7,867,"2,115"
IA0044,ADEL PUBLIC LIBRARY,Town,,"10,337",7,"1,842","12,761"
IA0045,COLO PUBLIC LIBRARY,Rural,,"1,177",3,112,"3,462"
IA0046,MAXWELL PUBLIC LIBRARY,Rural,,"1,016",4,364,"1,101"
IA0047,NEVADA PUBLIC LIBRARY,Town,,"7,587",10,"3,011","5,010"
IA0048,BERTHA BARTLETT PUBLIC LIBRARY,Town,,"5,005",8,"1,463","8,718"
IA0049,ROLAND PUBLIC LIBRARY,Rural,,"1,565",8,"1,560","5,071"
IA0050,ZEARING PUBLIC LIBRARY,Rural,,562,4,728,"2,493"
IA0051,SLATER PUBLIC LIBRARY,Rural,,"2,814",3,403,"1,276"
IA0052,IOWA CITY PUBLIC LIBRARY,City,,"90,234",53,"31,172","19,286"
IA0053,CORALVILLE PUBLIC LIBRARY,Suburban,,"27,074",39,"8,824","34,968"
IA0054,OXFORD PUBLIC LIBRARY,Rural,,751,4,135,266
IA0055,SOLON PUBLIC LIBRARY,Rural,,"7,601",19,"2,579","6,426"
IA0056,MARENGO PUBLIC LIBRARY,Rural,,"3,430",5,"1,775","1,792"
IA0057,NORTH ENGLISH PUBLIC LIBRARY,Rural,,"1,913",3,260,"2,582"
IA0059,WILLIAMSBURG PUBLIC LIBRARY,Town,,"8,510",13,"3,120",0
IA0060,BROOKLYN PUBLIC LIBRARY,Rural,,"2,623",5,722,"2,537"
IA0061,DRAKE COMMUNITY LIBRARY,Town,,"13,389",14,"19,825","19,825"
IA0062,MONTEZUMA PUBLIC LIBRARY,Rural,,"3,171",6,835,"2,324"
IA0063,COGGON PUBLIC LIBRARY,Rural,,"1,624",2,850,65
IA0064,KALONA PUBLIC LIBRARY,Rural,,"7,762",8,"1,646","3,492"
IA0065,WASHINGTON FREE PUBLIC LIBRARY,Town,,"11,233",21,"2,666","14,982"
IA0066,WELLMAN-SCOFIELD PUBLIC LIBRARY,Rural,,"2,450",12,344,"3,803"
IA0067,COLUMBUS JUNCTION PUBLIC LIBRARY,Rural,,"4,063",17,"4,218","5,260"
IA0068,LETTS PUBLIC LIBRARY,Rural,,"1,001",9,624,"2,872"
IA0069,MELLINGER MEMORIAL PUBLIC LIBRARY,Rural,,"1,081",3,156,444
IA0070,KECK MEMORIAL LIBRARY,Rural,,"5,044",4,431,"1,194"
IA0071,MUSSER PUBLIC LIBRARY,Town,,"33,189",20,"6,493","35,906"
IA0072,WEST LIBERTY PUBLIC LIBRARY,Town,,"5,203",18,"49,460","11,980"
IA0073,SWALEDALE PUBLIC LIBRARY,Rural,,209,2,270,"1,682"
IA0074,COLESBURG PUBLIC LIBRARY,Rural,,"1,664",5,416,"1,281"
IA0075,NORTH LIBERTY COMMUNITY LIBRARY,Suburban,,"21,746",30,"9,256","20,859"
IA0076,MASON CITY PUBLIC LIBRARY,Town,,"28,859",13,"4,325","16,610"
IA0077,CLEAR LAKE PUBLIC LIBRARY,Town,,"10,521",12,"2,969","2,751"
IA0078,MESERVEY PUBLIC LIBRARY,Rural,,243,3,613,"1,265"
IA0079,ROCKWELL PUBLIC LIBRARY,Rural,,"1,133",2,250,0
IA0080,THORNTON PUBLIC LIBRARY,Rural,,565,4,447,0
IA0081,ACKLEY PUBLIC LIBRARY,Rural,,"1,996",3,468,"3,873"
IA0082,ALEXANDER PUBLIC LIBRARY,Rural,,206,5,110,273
IA0083,DOWS COMMUNITY LIBRARY,Rural,,928,4,381,151
IA0084,VENTURA PUBLIC LIBRARY,Town,,"1,069",2,208,"1,397"
IA0085,HAMPTON PUBLIC LIBRARY,Town,,"7,589",5,579,"1,985"
IA0086,SHEFFIELD PUBLIC LIBRARY,Rural,,"1,330",5,"2,023",640
IA0087,ELLSWORTH PUBLIC LIBRARY,Rural,,632,7,208,764
IA0088,MONTGOMERY MEMORIAL LIBRARY,Rural,,"2,065",5,564,"1,434"
IA0089,STANHOPE PUBLIC LIBRARY,Rural,,396,2,240,600
IA0090,STRATFORD PUBLIC LIBRARY,Rural,,"1,173",3,173,110
IA0091,KENDALL YOUNG LIBRARY,Town,,"10,158",27,756,"4,909"
IA0092,WILLIAMS PUBLIC LIBRARY,Rural,,"1,020",,663,
IA0092,WILLIAMS PUBLIC LIBRARY,Rural,Data Note: Missing,"1,020",-1,,-1
IA0093,BRITT PUBLIC LIBRARY,Rural,,"3,644",7,"1,132","2,282"
IA0094,CORWITH PUBLIC LIBRARY,Rural,,446,5,260,"3,752"
IA0095,GARNER PUBLIC LIBRARY,Town,,"4,527",7,927,"4,020"
IA0096,KANAWHA PUBLIC LIBRARY,Rural,,690,8,191,"3,059"
IA0097,KLEMME PUBLIC LIBRARY,Rural,,455,10,534,910
IA0098,WODEN PUBLIC LIBRARY,Rural,,282,3,92,633
IA0099,DR. GRACE O. DOANE ALDEN PUBLIC LIBRARY,Rural,,"1,015",12,"1,820","1,321"
IA0100,ELDORA PUBLIC LIBRARY,Rural,,"3,714",13,624,"1,211"
IA0101,HUBBARD PUBLIC LIBRARY,Rural,,"1,621",11,261,"1,816"
IA0102,BEAMAN COMMUNITY MEMORIAL LIBRARY,Rural,,190,4,274,757
IA0103,ESTHERVILLE PUBLIC LIBRARY,Town,,"7,750",8,"1,442","11,310"
IA0104,RINGSTED PUBLIC LIBRARY,Rural,,637,3,298,"1,261"
IA0106,GEORGE PUBLIC LIBRARY,Rural,,"1,822",4,190,995
IA0107,INWOOD PUBLIC LIBRARY,Rural,,"2,158",2,72,"2,332"
IA0108,LARCHWOOD PUBLIC LIBRARY,Rural,,"1,451",2,161,348
IA0109,LITTLE ROCK PUBLIC LIBRARY,Rural,,503,4,241,0
IA0110,CHELSEA PUBLIC LIBRARY,Rural,,281,3,55,260
IA0111,ROCK RAPIDS PUBLIC LIBRARY,Rural,,"4,444",6,"1,800","3,062"
IA0112,PAULLINA PUBLIC LIBRARY,Rural,,"1,274",3,255,25
IA0113,PRIMGHAR PUBLIC LIBRARY,Rural,,"1,192",5,398,"1,395"
IA0114,SANBORN PUBLIC LIBRARY,Rural,,"3,057",5,632,"1,352"
IA0115,GENERAL N.B. BAKER LIBRARY,Rural,,800,5,625,150
IA0116,ASHTON PUBLIC LIBRARY,Rural,,465,9,560,508
IA0117,MELVIN PUBLIC LIBRARY,Rural,,199,,177,
IA0117,MELVIN PUBLIC LIBRARY,Rural,Data Note: Missing,199,-1,,-1
IA0118,OCHEYEDAN PUBLIC LIBRARY,Rural,,439,,389,
IA0118,OCHEYEDAN PUBLIC LIBRARY,Rural,Data Note: Missing,439,-1,,-1
IA0119,SIBLEY PUBLIC LIBRARY,Town,,"4,938",10,"3,432",0
IA0120,EMMETSBURG PUBLIC LIBRARY,Town,,"4,920",9,"1,991",0
IA0122,MALLARD PUBLIC LIBRARY,Rural,,257,,228,
IA0122,MALLARD PUBLIC LIBRARY,Rural,Data Note: Missing,257,-1,,-1
IA0123,RUTHVEN PUBLIC LIBRARY,Rural,,781,3,"1,047","1,001"
IA0124,AKRON PUBLIC LIBRARY,Rural,,"2,675",5,487,"1,620"
IA0125,KINGSLEY PUBLIC LIBRARY,Rural,,"2,962",5,725,"1,879"
IA0126,LE MARS PUBLIC LIBRARY,Town,,"13,939",11,"3,901","5,036"
IA0127,BAGLEY PUBLIC LIBRARY,Rural,,560,4,82,"1,255"
IA0128,BENNY GAMBAIANI PUBLIC LIBRARY,Rural,,"1,543",4,"1,750",824
IA0129,DIKE PUBLIC LIBRARY,Rural,,"2,217",3,"1,612","3,628"
IA0130,UPHAM MEMORIAL LIBRARY,Rural,,"1,839",5,160,481
IA0131,LAWLER PUBLIC LIBRARY,Rural,,696,2,93,242
IA0132,NASHUA PUBLIC LIBRARY,Rural,,"1,996",5,376,"1,334"
IA0133,NEW HAMPTON PUBLIC LIBRARY,Town,,"6,257",12,"1,337","2,152"
IA0134,EDGEWOOD PUBLIC LIBRARY,Rural,,"2,613",6,"2,236",808
IA0135,ELKADER PUBLIC LIBRARY,Rural,,"3,022",13,"1,323","1,187"
IA0136,GARNAVILLO PUBLIC LIBRARY,Rural,,"1,588",5,"1,304","1,459"
IA0137,GUTTENBERG PUBLIC LIBRARY,Rural,,"3,222",7,509,"1,121"
IA0139,MCGREGOR PUBLIC LIBRARY,Town,,"2,156",6,"1,693","1,546"
